Wach- / Funkrufname	Typ	Kommentar
Akkon Ostholstein 67/83-11	RTW	MB Sprinter
Akkon Ostholstein 67/92-01	KTW4	VW-LT
Akkon Ostholstein 67/92-02	KTW4	VW-LT
Akkon Ostholstein 67/92-03	KTW4	VW-LT
Akkon Ostholstein 67/93-01	NKTW 4x4	MB Sprinter
Akkon Ostholstein 67/95-01	GW-San	MAN TGL 818 Modell Schleswig-Holstein
	Rauwasser-Arbeitsboot auf Trailer	
	Schlauchboot auf Trailer	
	Geräteanhänger SEG	
		
DRK OV Eutin	Elisabethstraße 17	23701 Eutin
Rotkreuz Ostholstein 67/14-01	MZF	
Rotkreuz Ostholstein 67/89-01	PKW	
	Anhänger FKH	
		
DRK OV Süsel	Neustädter Straße 12	23701 Süsel
Rotkreuz Ostholstein 71/10-01	KdoW	BBK
Rotkreuz Ostholstein 71/11-01	ELW RD	
Rotkreuz Ostholstein 71/15-01	Quad	
Rotkreuz Ostholstein 71/15-02	Quad	
Rotkreuz Ostholstein 71/83-01	RTW	
Rotkreuz Ostholstein 71/89-01	PKW	
Rotkreuz Ostholstein 71/89-02	PKW	
Rotkreuz Ostholstein 71/90-01	KTW-B	
Rotkreuz Ostholstein 71/92-01	KTW-4	
Rotkreuz Ostholstein 71/95-01	GW-San	
		
DRK OV Stockelsdorf	Bäckergang 8	23617 Stockelsdorf
		3. BtrGrp.
Rotkreuz Ostholstein 83-18-01	MTW	
Rotkreuz Ostholstein 83-92-01	4-Tragen KTW	
Rotkreuz Ostholstein 83-99-01	GW-Betreuung	
	Anhänger	
		
MHD OV Timmendorfer Strand	Poststraße 30	23669 Timmendorfer Stand
Johannes Ostholstein 89-15-01	Krad	
Johannes Ostholstein 89-15-02	Quad	
Johannes Ostholstein 89-18-01	MTW	
Johannes Ostholstein 89-18-02	MTW	
Johannes Ostholstein 89-98-01	GW-Bt	
	Anhänger FKH	
	Anhänger BetMat	
		
DRK OV Bad Schwartau	Nieland 6	23611 Bad Schwartau
Rotkreuz Ostholstein 92/18-01	MTW	
Rotkreuz Ostholstein 92/89-01	PKW	First Responder
Rotkreuz Ostholstein 92/90-01	N-KTW	
Rotkreuz Ostholstein 92/92-01	KTW-4	
	Anhänger	
	Werbefahrzeug	Piaggo Ape
		
DLRG Haffkrug-Scharbeutz	Fuchsberg 1b	23863 Scharbeutz
Adler Scharbeutz 15/10	Krad	
	MTW	Mercedes Vito E OH VZ 35E ohne Sosi
Adler Ostholstein 80/58-01	GW-W	Dacia Logan OH VZ 7777
	MZF	VW Crafter ohne SoSi OH VZ 999
	MZF	VW Caddy ohne SoSi
	MZF	Mercedes Vito
		
DLRG WRS Lübecker Bucht	Saunaring 7	23669 Timmendorfer Strand
		Zentraler Wasserrettungsdienst Küste organisiert über DLRG H.-Scharbeutz
		Übergreifende Wasserrettung von Sierksdorf bis Niendorf
Adler Scharbeutz 09/01-09/24	Turm	24 Wasserrettungstürme
Adler Scharbeutz 15/01-15/06	ATV	6 ATV / Strandfahrzeuge
Adler Scharbeutz 78/01-78/09	IRB	9 Schlauchboote
Adler Scharbeutz 78/10-78/11	MRTB	2 Motorrettungsboote
	Drohne	1-2 Drohnen Hexacopter
		
DLRG Lübecker Bucht	Am Rethwarder 2a	23669 Niendorf/Ostsee
Adler Ostholstein 89/19-01	MTW	
Adler Ostholstein 89/78-01	MRBT	Lübecker Bucht
Adler Ostholstein 89/78-02	IRB	
	GA-Logisitk	
		
DLRG Grömitz		
Adler Grömitz 78-01	MZB	
