12 Städte- und Gemeindefeuerwehren		
insgesamt 93 Freiwillige Feuerwehren		
7 Werk- / Betriebsfeuerwehren		
		
Florian Heidekreis 18-45-2	LF 8/6	
Florian Heidekreis 18-59-2	GW	außer Dienst?
	Pulverlöschanhänger	
		
Ortsfeuerwehr Gilten	Schulstraße 2	29690 Gilten
Florian Heidekreis 18-17-3	MTW	
Florian Heidekreis 18-20-3	TLF 8/18	
Florian Heidekreis 18-40-3	TSF	
		
Ortsfeuerwehr Essel	Lange Straße 18	29690 Essel
Florian Heidekreis 18-17-4	MTF	
Florian Heidekreis 18-40-4	TSF	
Kater Niedersachsen 5-29-12	TLF 3000 CCFM	
		
Ortsfeuerwehr Bothmer	Alte Dorfstraße	29690 Schwarmstedt
Florian Heidekreis 18-17-05	MTF	VW-Caddy
Florian Heidekreis 18-40-05	TSF	
		
Ortsfeuerwehr Buchholz	Buchholzer Kirchweg 1	29690 Buchholz (Aller)
Florian Heidekreis 18-41-6	TSF-W	Neufahrzeug 2016
		
Ortsfeuerwehr Hope	Celler Weg 11	29690 Lindwedel
Florian Heidekreis 18-40-7	TSF	
		
Ortsfeuerwehr Marklendorf	Am Schützenplatz 6	29690 Buchholz (Aller)
Florian Heidekreis 18-40-8	TSF	
		
Ortsfeuerwehr Nienhagen	Rodewalder Straße 7a	29690 Gilten
Florian Heidekreis 18-40-9	TSF	
		
Ortsfeuerwehr Norddrebber	Hohe Eschweg	29690 Gilten
Florian Heidekreis 18-40-10	TSF	
		
Ortsfeuerwehr Suderbusch	Zum Schießstand 5	29690 Gilten
Florian Heidekreis 18-40-11	TSF	
		
Stadt Walsrode		
Ortsfeuerwehr Walsrode	Moorstraße 91	29664 Walsrode
Florian Heidekreis 20-11-1	ELW 1	
Florian Heidekreis 20-17-1	MTW	
Florian Heidekreis 20-23-1	TLF 16/25	Besatzung 1/8, 3.000l Wasser
Florian Heidekreis 20-30-1	DLK 23/12	Ersatzbeschaffung 2023 geplant
Florian Heidekreis 20-47-1	LF 16/12	
Florian Heidekreis 20-52-1	RW 2	
Florian Heidekreis 20-64-1	GW-L	
Florian Heidekreis 82-73-2	WLF	
	AB-Gefahrgut	
	Anhänger	
		
Ortsfeuerwehr Krelingen	Krelingen 157	29664 Walsrode
Florian Heidekreis 20-20-2	TLF 8/18	soll durch TLF 4000 ersetzt werden
Florian Heidekreis 20-48-2	HLF 20	
		
Ortsfeuerwehr Südkampen	Südkampen 9	29664 Walsrode (Neubau 2016)
Florian Heidekreis 20-20-3	TLF 8/18	
Florian Heidekreis 20-46-3	HLF 10 S	
		
Ortsfeuerwehr Stellichte	Stellichte 137	29664 Walsrode
Florian Heidekreis 20-20-4	TLF 8/18	
Florian Heidekreis 20-43-4	LF 8/6	2020 von Krelingen übernommen, LF8 nach Benzen
		
Ortsfeuerwehr Düshorn	Rehrweg 6	29664 Walsrode
Florian Heidekreis 20-17-5	MTF	
Florian Heidekreis 20-45-5	LF 10/6	
	Krad	
		
Ortsfeuerwehr Honerdingen	Dorfallee 55	29664 Walsrode
Florian Heidekreis 20-17-6	MTF	
Florian Heidekreis 20-45-6	LF 8/6	
(Florian Heidekreis 82-72-2)	(LKW Dekon-P)	Standort FTZ Schneeheide
		in Zukunft zusätzliches TLF 4000 vorgesehen
		
Ortsfeuerwehr Nordkampen	Nordkampen 106	29664 Walsrode
Florian Heidekreis 20-40-7	TSF	
		
