Station Code / Callsign,Station Name / Unit-Type,Address,Comments
A402,DPL,,DPL 278 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TTK)
A40S,ORV,,Station Manager
,,,
A41,West Hampstead,327B West End Lane,Built 1901
A411,DPL,,DPL 239 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LMV)
A412,DPL,,DPL 281 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TYC)
A41S,ORV,,Station Manager
,,,
A43,Kentish Town,20 Highgate Road,Built 1972
A431,DPL,,DPL 289 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWE)
A432,DPL,,DPL 194 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMA)
A43S,ORV,,Station Manager
,,,
South Eastern Command (E),,,
E21,Lewisham,249 Lewisham High Street,
E211,DPL,,DPL 221 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBV)
E216,FRU,,FRU ??) -
E21S,ORV,,Station Manager
,,,
E22,Greenwich,4 Blissett Street,
E221,DPL,,DPL 312 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 YZA)
E223,TL,,TL 65A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YXW)
E22S,ORV,,Station Manager
,,,
E23,East Greenwich,325 Woolwich Road,
E231,DPL,,DPL 245 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 THX)
E232,DPL,,DPL 309 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHG)
E23S,ORV,,Station Manager
,,,
E25,Plumstead,1 Lakedale Road,
E251,DPL,,DPL 233 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWM)
E252,DPL,,DPL 268 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNZ)
E25S,ORV,,Station Manager
,,,
E27,Erith,54 Erith Road,
E271,DPL,,DPL 304 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHB)
E27S,ORV,,Station Manager
,,,
E28,Bexley,172 Erith Road,
E281,DPL,,DPL 275 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TTE) (Ex-F421)
E286,FRU,,FRU 43 - 2021 Mercedes Benz Atego 1527F / Emergency One
E28S,ORV,,Station Manager
,,,
E29,Lee Green,9 Eltham Road,Built 1906
E291,DPL,,DPL 192 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HLY)
E29A,OSU,,OSU 3 - 007 Mercedes Benz Atego 1223 (#AE07 HXK)
E29S,ORV,,Station Manager
,,,
E30,Eltham,"226 Eltham High Street, Eltham",Built 1904
E301,DPL,,DPL 198 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMF)
E30S,ORV,,Station Manager
,,,
E31,Forest Hill,155 Stanstead Road,
E311,DPL,,DPL 316 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 AOH)
E313,TL,,TL 66A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YYE)
E31S,ORV,,Station Manager
CU5,CSU,,CSU 18 - 2023 Optare Solo SR / WH Bence (#LK73 BWH)
,,,
E34,Dockhead,8 Wolseley Street,Built 2016
E341,DPL,,DPL 213 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBE)
E34S,ORV,,CEV 35 - 2023 Volkswagen ID3 Life Pro (#LT23 WCV)
CU4,CSU,,CSU 17 - 2023 Optare Solo SR / WH Bence (#LK73 BWD)
,,,2020 Volvo XC40 D3 (#CV20 OOX)
,,,
E35,Old Kent Road,380 Old Kent Road,Built 2015
E351,DPL,,DPL 296 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZBN)
E354,TL,,TL 02E - 2021 Scania P410 B8x4*4NB / Emergency One / Magirus M64L (2400/-/64M) (#EX21 HPU)
E35S,ORV,,Station Manager
,,,
E36,Deptford,186 Evelyn Street,Built 1903
E361,DPL,,DPL 196 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMD)
E36S,ORV,,Station Manager
,,,
E37,Peckham,78-80 Peckham Road,
E371,DPL,,DPL 251 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJY)
E37S,ORV,,Station Manager
,,,
E38,New CrosS,266 Queen's Road,Built 1894
E381,DPL,,DPL 248 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJU)
E38S,ORV,,Station Manager
,,,
E39,Bromley,4 South Street,
E391,DPL,,DPL 332 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFX)
E392,DPL,,DPL 264 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNN)
E39S,ORV,,Station Manager
,,,
E40,Sidcup,156-158 Main Road,Built 1914
E401,DPL,,DPL 253 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TKA)
E402,DPL,,DPL 279 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TYA)
E40S,ORV,,Station Manager
,,,
E41,Orpington,13 Avalon Road,Built 2014
E411,DPL,,DPL 205 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
E412,DPL,,DPL 265 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
E41S,ORV,,Station Manager
,,,
E42,Biggin Hill,"8 Kingsmead, Biggin Hill",
E420,,,AWD 02 - 2022 Iveco 70C18HA8 D WX / Emergency One (#SP72 XLZ)
E421,DPL,,DPL 225 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGO)
E42S,ORV,,Station Manager
,,,
E43,Beckenham,8 Beckenham Road,
E431,DPL,,DPL 308 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHF)
E439,HLU,,HLU 3 - 2010 Mercedes Benz Atego 1626 (#WN60 AYB)
E43S,ORV,,Station Manager
Prime Mover 004,PM,,PM 004 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VLN)
Prime Mover 174,PM,,PM 174 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VTP)
HVP DC04P,High Volume Pump Pod,,
HVP DC76HB,High Volume Pump Pod,,
,,,
Eastern Command (F),,,
F21,Stratford,117 Romford Road,Built 1964
BM?,(Assistant Commissioner),,
F2,(Area Manager),,
F3,(Area Manager),,
F4,(Area Manager),,
F211,DPL,,DPL 323 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFM)
F21A,OSU,,OSU 4 - 007 Mercedes Benz Atego 1224 / Emergency One (#AE07 HXO)
F21S,ORV,,Station Manager
F81,(Group Manager),,
,MV,,MV 20 - 2019 MAN TGE 3.140 (#DF19 YUG)
,UV,,UV 03 - 2019 Ford (#LC69 VVF)
,UVM,,UVM 06 - 2019 MAN TGE 3.180 (#DF19 YUJ)
,UVM,,UVM 07 - 2019 MAN TGE 3.180 (#DF19 YUK)
,,,
F22,Poplar,168 East India Dock Road,Built 1970
F221,DPL,,DPL 299 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZFK)
F22S,ORV,,Station Manager
,,,
F23,Millwall,43 Westferry Road,Built 2005
F231,DPL,,DPL 208 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 EYT)
F23S,ORV,,Station Manager
,,,
F24,Shoreditch,235 Old Street,Built 1964
F241,DPL,,DPL 319 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFF)
F24S,ORV,,CEV 20 - 2023 Volkswagen ID3 Life Pro (#LP72 OXD)
,DPL,,DPL 257 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JLV)
,,,2021 BMW 218I (#LE21 KCZ)
,,,2021 Mercedes Benz EQA 250 (#KU71 MLE)
,,,2021 Toyota RAV 4 (#FP70 VRL)
,,,2020 Mercedes Benz A220D AMG (#OV70 YNS)
,,,2015 Audi A3 (#RA65 BVW)
,,,
F25,Shadwell,290 Cable Street,Built 2015
F251,DPL,,DPL 191 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HLX)
F25S,ORV,,Station Manager
,,,
F26,Bethnal Green,11 Roman Road,Built 1969
F261,DPL,,DPL 247 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJO)
F266,FRU,,FRU 37 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VHY)
F26S,ORV,,Station Manager
,,,
F28,Homerton,97 Homerton High Street,Built 1972
F281,DPL,,DPL 240 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWW)
F282,DPL,,DPL 271 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 HZZ)
F28S,ORV,,Station Manager
,,,
F29,Leyton,90B Church Road,Built 1990
F291,DPL,,DPL 331 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFV)
F29S,ORV,,Station Manager
,,,
F30,Leytonstone,466 High Road Leytonstone,Built 2016
F301,DPL,,DPL 295 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZBG)
F30S,ORV,,Station Manager
,,,
F32,Stoke Newington,64 Stoke Newington Church Street,Built 1974
F321,DPL,,DPL 267 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNX)
F322,DPL,,DPL 282 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YSK) (Ex-E232)
F32S,ORV,,Station Manager
,,,
F33,Whitechapel,27 Commercial Road,Built 1931
F331,DPL,,DPL 220 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBO)
F33S,ORV,,Station Manager
,,,
F34,Chingford,34 The Ridgeway,Built 1957
F341,DPL,,DPL 212 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBD)
F34S,ORV,,Station Manager
,,,
F35,Woodford,2 Snakes Lane West,Built 1992
F351,DPL,,DPL 216 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBJ)
F35S,ORV,,Station Manager
,,,
F36,Walthamstow,343 Forest Road,Built 2012
F361,DPL,,DPL 250 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJX)
F362,DPL,,DPL 259 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JMO)
F36S,ORV,,Station Manager
,,,
F37,Hainault,386-388 New North Road,Built 1952
F371,DPL,,DPL 203 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 JFF)
F37S,ORV,,Station Manager
Prime Mover 005,PM,,PM 005 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VLO)
HVP DC75HB,High Volume Pump Pod,,
HVP DC89H,High Volume Pump Pod,,
F38,Romford,198 Pettits Lane North,Built 1959
F381,DPL,,DPL 311 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHJ)
F38S,ORV,,Station Manager
,,,
F39,Hornchurch,"42 North Street, Hornchurch",
F391,DPL,,DPL 237 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWR) (VIN#WDB96760620184418)
F39S,ORV,,Station Manager
,,,
F40,Wennington,30 Wennington Road,Built 1962
F401,DPL,,DPL 195 - 2016 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMC) (VIN#WDB96760620053125)
F40S,ORV,,Station Manager
Prime Mover 093,PM,,PM 093 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VNY)
Prime Mover 153,PM,,PM 153 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VTC)
MDR 013,Mass Decontamination Rerobe Pod,,
MDD 017,Mass Decontamination Disrobe Pod,,
,,,
F41,Dagenham,70 Rainham Road North,Built 2016
F411,DPL,,DPL 263 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNL)
F412,DPL,,DPL 327 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BPV)
F414,TL,,TL 01E - 2020 Scania P410 B8x4*4NB / Emergency One / Magirus M64L (2400/-/64M) (#EY20 YRR)
F41S,ORV,,Station Manager
,,,
F42,Ilford,460 High Road,Built 1986
F421,DPL,,DPL 217 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBK) (Ex-E281)
F422,DPL,,DPL 244 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 THV) (Ex-F421)
F42S,ORV,,Station Manager
,,,
