Berufsfeuerwehr		
Florian Kiel 48/47-01	LF KatS SH	
Florian Kiel 48/48-01	HLF 10	Neufahrzeug 2023
Florian Kiel 50/12-01	ELW 2	Fernmeldezug
Florian Kiel 50/14-01	MZF	Fernmeldezug
Florian Kiel 50/67-01	GW-L1	Verpflegung
		
FF Kiel OW Gaarden	 Diedrichstraße 22	24143 Kiel
Florian Kiel 49/14-01	MZF	
Florian Kiel 49/47-01	LF 20 KatS	Bund
Florian Kiel 49/48-01	HLF 10	
		
FF Kiel Stadtfeuerwehrverband	Diedrichstraße 22	24143 Kiel
Florian Kiel 50/02-01	PKW	Stadtwehrführer
Florian Kiel 50/02-02	PKW	Stellv. Stadtwehrführer
		
Werk- und Betriebsfeuerwehren		
Bundeswehr Feuerwehr Marinestützpunkt Kiel		24159 Kiel
		mehrere Positionierungsorte, vor allem Schweriner Straße
		da das MFG verlegt wurde wohl keine FlKFZ mehr?
Florian Kiel 80/11-01	ELW 1	
Florian Kiel 80/23-01	FlKFZ Gebäude	
Florian Kiel 80/27-01	FlKFZ 3500	a.D.?
Florian Kiel 80/29-01	FlKFZ 1000	a.D.?
Florian Kiel 80/32-01	DL(A)K 23/12	
Florian Kiel 80/48-01	HLF 16	
Florian Kiel 80/51-01	FlKFZ Geräterüst	
Florian Kiel 80/68-01	GW-L2	
	Anhänger Ölwehr	
		
WF Thyssenkrupp Marine Systems Kiel	Werftstraße 112-114	24143 Kiel
Florian Kiel 81-10-01	KdoW	
Florian Kiel 81-18-01	MTW	
Florian Kiel 81-18-02	MTW	
Florian Kiel 81-48-01	HLF	
Florian Kiel 81-69-01	GW-L	
Florian Kiel 81-49-01	LF	
Florian Kiel 81-83-01	RTW	
	RTB	
	Anhänger mit Ölseparationsanlage	
		
Betriebsfeuerwehr Flughafen Kiel-Holtenau	Boelckestraße 100	24159 Kiel
	SLF 4000	
	SLF 1200/500	
	RW	
		
Rettungsdienst		
Berufsfeuerwehr		
BF Kiel RW Holzkoppelweg	Holzkoppelweg 9	24118 Kiel
Florian Kiel 11/82-01	NEF	
Florian Kiel 11/82-02	NEF	
Florian Kiel 11/83-01	RTW	
Florian Kiel 11/83-02	RTW	
Florian Kiel 11/83-03	RTW	
Florian Kiel 11/83-04	RTW	
Florian Kiel 11/83-05	RTW	
Florian Kiel 11/83-06	RTW	
Florian Kiel 11/83-07	RTW	
Florian Kiel 11/85-01	KTW	
Rettung Schleswig-Holstein 74/80-01	ITW	
Rettung Schleswig-Holstein 74/81-01	Baby NAW	
		
BF Kiel RW Schilksee	Schilkseer Straße 154b	24159 Kiel (neben FF-Gebäude)
Florian Kiel 12/83-01	RTW	
Florian Kiel 12/83-02	RTW	
		
BF Kiel RW Grasweg	Grasweg	24118 Kiel (In der großen Halle)
Florian Kiel 14/83-01	RTW	
		
BF Kiel RW Dietrichsdorf 1	Johannisburger Straße 8	24149 Kiel
Florian Kiel 23/82-01	NEF	
Florian Kiel 23/83-01	RTW	
		
BF Kiel RW Dietrichsdorf 2	Poggendörper Weg 36	24149 Kiel
Florian Kiel 22/83-01	RTW	
		
BF Kiel RW Braunsraße	Braunstraße 20	24145 Kiel
Florian Kiel 24/85-01	KTW	ASB
Florian Kiel 24/85-02	KTW	DRK
Florian Kiel 24/85-03	KTW	JUH
Florian Kiel 24/85-04	KTW	JUH
Rettung Scheswig-Holstein 74/84-01	VEF	BF
		
ASB RW Kiel	Hamburger Chaussee 90	24113 Kiel
Sama Kiel 60/83-01	RTW	
Sama Kiel 60/83-02	RTW	
Sama Kiel 60/83-03	RTW (Reserve)	
Sama Kiel 60/85-01	KTW	
Sama Kiel 60/85-02	KTW	
Sama Kiel 60/85-03	KTW	
		
DRK RW Kiel	Papenkamp 3	24114 Kiel
Rotkreuz Kiel 66/83-01	RTW	
Rotkreuz Kiel 66/83-02	RTW	
Rotkreuz Kiel 66/83-03	RTW	
Rotkreuz Kiel 66/83-04	RTW (Reserve)	
Rotkreuz Kiel 66/85-01	KTW	
Rotkreuz Kiel 66/85-02	KTW	
Rotkreuz Kiel 66/85-03	KTW	
Rotkreuz Kiel 66/85-04	KTW (Reserve)	
		
JUH		
JUH RW Kiel	Lübscher Baum 18	24113 Kiel
Akkon Kiel 70/83-01	RTW	
Akkon Kiel 70/83-02	RTW	
Akkon Kiel 70/83-xx	Reserve RTW	
		
JUH RW Kiel-Waitzstraße	Waitzstraße 44a	24105 Kiel
Akkon Kiel 71/83-01	RTW	War auch mal MZF / KTW
		
JUH RW Kiel-Grasweg	Grasweg	24118 Kiel (In der großen Halle)
Akkon Kiel 70/85-01	KTW	
Akkon Kiel 70/85-02	KTW	
