Wach- /Funkrufname	Typ	Kommentar
Florian Hamburg Airbus - WLF 2	WLF	
Florian Hamburg Airbus - WLF 3	WLF	mit AB-Lösch
Florian Hamburg Airbus - WLF 4	WLF	
Florian Hamburg Airbus - FLF	FLF	
Florian Hamburg Airbus - TMF	TMF	
Florian Hamburg Airbus - RTW 1	RTW	
Florian Hamburg Airbus - RTW 2	RTW	
Florian Hamburg Airbus - NEF	NEF	
	FwA-Großunfallset	
	FwA-Umweltschutz	
	FwA-Tankbegehung / Tankrettung	
	Außerdem unzählige Gitterboxen u.a.:	
	Hochwasserschutz	
	Ölbindemittel	
	Belüftung	
	Außleuchten	
	Einweg CSA	
		
Betriebsfeuerwehr Phoenix AG	Hannoversche Straße 100	
Florian Phoenix LF 8	LF8	
Florian Phoenix KTW	KTW	
		
Betriebsfeuerwehr Blohm + Voss	Hermann-Blohm-Straße 3	
Florian Blohm + Voss LF - LF 16/12	LF 16/12	
Florian Blohm + Voss LKW	LKW	
Florian Blohm + Voss MTW	MTW	
Florian Blohm + Voss WLF	WLF	
Florian Blohm + Voss RTW	RTW	
	AB-Rettung	
	AB-Schaum	
		
Werkfeuerwehr Holborn Europa Raffinerie	Moorburger Straße 16	
Florian Hamburg Holborn GTLF 40/50/10	GTLF 40/50/10	
Florian Hamburg Holborn TroLF	TroLF	
Florian Hamburg Holborn WLF A	WLF	
Florian Hamburg Holborn WLF B	WLF	
Florian Hamburg Holborn WLF C	WLF	
Florian Hamburg Holborn KLF	KLF	
Florian Hamburg Holborn MZF	MZF	
Florian Hamburg Holborn KdoW	KDOW	
	AB-Pumpe	Hytrans-System
	AB-Schlauch	Hytrans-System
	AB-Schaum	
	AB-Pulver	
	AB-Logistik	
	AB-Logistik	
	AB-Umwelt	
FwA SWW		16.000 l/min
		
Werkfeuerwehr Daimler AG - Werk Hamburg-Harburg	Mercedesstraße 1	21079 Hamburg
Florian Hamburg Daimler HLF	HLF	
Florian Hamburg Daimler SLF	SLF	
Florian Hamburg Daimler WLF	WLF	
		
Werkfeuerwehr Shell/Nynas Raffinerie Hamburg-Harburg	Hohe-Schaar-Straße 34	
Florian Hamburg Shell KdoW	KdoW	
Florian Hamburg Shell ELW 1	ELW1	
Florian Hamburg Shell SLF 40/50-50	SLF 40/50-50	
Florian Hamburg Shell SLF 40/50-50	SLF 40/50-50	
Florian Hamburg Shell TroLF 4000+120 CO2	TroLF 4000+120 CO2	
Florian Hamburg Shell WLF 1	WLF	
Florian Hamburg Shell WLF 2	WLF	
Florian Hamburg Shell WLF-Kran 3	WLF-K	
12 Abrollbehälter, darunter:		
	AB-Lösch 1	
	AB-Geräte	
	Mehrzweckanhängert	
	ca. je 20 FwA-SWW und P250 im Werk verteilt	
Werk Süd:		
Florian Hamburg Shell TLF 24/15-10	TLF 24/15-10	
	ca. je 8 FwA-SWW und P250 im Werk verteilt	
		
Betriebsfeuerwehr Hydro Aluminium Rolled Products GmbH	Aluminiumstrasse 1	
Florian Hamburg Hydro TLF	TLF	
		
BtF Shell Grasbrook Lubricants Centre	Worthdamm 32	
Keine Informationen mehr auffindbar, wohl a.D.		
		
Betriebsfeuerwehr Oiltanking Deutschland	Blumensand 38	
	TLF 8/18	
	ZLF 16-8/00-25	
	Anh Schaummitteltank	
		
Betriebsfeuerwehr OTTO GmbH	Wandsbeker Straße 3-7	
	RTW	
		
Betriebsfeuerwehr Studio Hamburg	Jenfelder Allee 80	
Florian Hamburg TSF-W 10/1	TSF-W	
		
WF Aurubis AG	Hovestraße 50	20539 Hamburg
Florian Hamburg Aurubis ELW 1	ELW1	Ford Transit
Florian Hamburg Aurubis KdoW	KdoW	Ford Kugar
Florian Hamburg Aurubis LF 20/16	LF 20/16	Mercedes-Benz
Florian Hamburg Aurubis LF 16/12	LF 16/12	Mercedes-Benz
Florian Hamburg Aurubis DLK 23/12	DLK 23/12	MAN
Florian Hamburg Aurubis WLF	WLF	Mercedes-Benz
	AB-GSG	
	AB-Logistik	
	AB-Wasser/Schaum	
	AB-Pumpe	
	AB-Starkregen	
Florian Hamburg Aurubis RTW	RTW	Mercedes-Benz
Florian Hamburg Aurubis RTW	RTW	Mercedes-Benz
