Rettungsleitstelle See	Werderstraße 2	28199 Bremen
Station Sassnitz	Straße der Jugend 10c	18546 Sassnitz
Harro Koebke DBAK	Seenotrettungskreuzer	
		
Station Lauterbach	Am Eichendamm 2	18581 Lauterbach
Gerhard Elsner DH 5366	Seenotrettungsboot	
		
Station Freest	Am Hafen	17440 Freest
Heinz Orth DD 4654	Seenotrettungsboot	
		
Station Zinnowitz	Dünenstraße/Ecke Neue Strandstraße	17454 Zinnowitz
Hecht DH 3783	Seenotrettungsboot	
		
Station Greifswalder Oie	Am Weg zum Leuchtturm	17440 Greifswalder Oie
Berthold Beitz DBAE	Seenotrettungskreuzer	
		
Station Ueckermünde	Kamigstraße 26a	17373 Ueckermünde
Eva Ahrens-Thies DBAL	Seenotrettungsboot	
Neuharlingersiel DD 4980	Seenotrettungsboot	
