Wach- /Funkrufname,Typ,Kommentar
Florian Dithmarschen 63-49-01,LF8,
,,
FF Tellingstedt OF Tellingstedt,Am Markt 16,25782 Tellingstedt
Florian Dithmarschen 74-11-01,ELW 1,
Florian Dithmarschen 74-18-01,MTW,
Florian Dithmarschen 74-40-01,TSF,
Florian Dithmarschen 74-46-01,LF16,
Florian Dithmarschen 74-48-01,LF16-12,
,,
FF Tellingstedt OF Reederstall,Rederstaller Straße 16,25782 Tellingstedt
Florian Dithmarschen 74-41-01,TSF-W,
,,
FF Pahlen,Mühlenberg,25794 Pahlen
Florian Dithmarschen 76-14-01,MZF,
Florian Dithmarschen 76-41-01,StLF10-6,
Florian Dithmarschen 76-41-02,TSF-W,
,,
FF Hennstedt,Schulstraße 2,25779 Hennstedt
Florian Dithmarschen 77-11-01,ELW 1,
Florian Dithmarschen 02-11-01,ELW 1 TEL Dithmarschen,
Florian Dithmarschen 77-47-01,LF10,
Florian Dithmarschen 77-48-01,HLF20,
,,
FF Fedderigen-Wiemerstedt,Heideweg 7,25779 Fedderingen
Florian Dithmarschen 78-47-01,LF10,
,,
FF Kleve,Hauptstr.,25779 Kleve
Florian Dithmarschen 79-41-01,TSF-W,
Florian Dithmarschen 79-43-01,LF8-6,
,,
FF Linden,Am Gerätehaus 1,25791 Linden
Florian Dithmarschen 80-41-01,TSF-W,
Florian Dithmarschen 04-11-41,ELW 1 Feuerwehrbereitschaft,
,,
FF Süderheistedt,Mühlenstraße 1,25779 Süderheistedt
Florian Dithmarschen 81-41-01,TSF-W,
,,
FF Schlichting,Dorfstraße 40,25779 Schlichting
Florian Dithmarschen 82-40-01,TSF,
,,
FF Delve,Brokkuhl 2,25788 Delve
Florian Dithmarschen 83-41-01,TSF-W,
Florian Dithmarschen 83-43-01,LF8-6,
,,
FF Hollingstedt,Möhlenweg 9,25788 Hollingstedt
Florian Dithmarschen 84-41-01,TSF-W,
,,
FF Lunden,Friedrichstraße 40,25774 Lunden
Florian Dithmarschen 85-11-01,ELW 1,
Florian Dithmarschen 85-46-01,LF16-12,
Florian Dithmarschen 85-48-01,HLF10,
,,
FF Lehe,Schulstraße 22,25774 Lehe
Florian Dithmarschen 86-43-01,LF8-6,
,,
FF Rehm-Flehde-Bargen,Schulweg 2a,25776 Rehm-Flehde-Bargen
Florian Dithmarschen 87-18-01,MTW,
Florian Dithmarschen 87-41-01,TSF-W,
Florian Dithmarschen 04-42-22,LF16-TS Feuerwehrbereitschaft,
,,
FF St. Annen,Dorfstraße 74,25776 St. Annen
Florian Dithmarschen 88-40-01,TSF,
,,
FF Karolinenkoog,Deichstraße,25774 Karolinenkoog
Florian Dithmarschen 90-40-01,TSF,
,,
FF Hemme,Dorfstraße 55,25774 Hemme
Florian Dithmarschen 89-11-01,ELW1,
Florian Dithmarschen 89-42-01,TSF,
Florian Dithmarschen 89-48-01,HLF20,
Florian Dithmarschen 04-50-02,RW1 Feuerwehrbereitschaft,
,,
Stadt Heide,,
,,
FF Heide-Stadt,Kirchspielsweg 3,25746 Heide
Florian Dithmarschen 10-10-01,KdoW,
Florian Dithmarschen 10-11-01,ELW 1,
Florian Dithmarschen 10-14-01,MZF,
Florian Dithmarschen 10-18-01,MTW,
Florian Dithmarschen 10-25-01,TLF4000,
Florian Dithmarschen 10-32-01,DLK23-12,
Florian Dithmarschen 10-48-01,LF16/12,
Florian Dithmarschen 10-48-02,HLF20/16,
Florian Dithmarschen 10-48-03,HLF20,
Florian Dithmarschen 10-68-01,GWL-2,
,,
FF Heide-Süderholm,Süderholmer Straße 73,25746 Süderhom
Florian Dithmarschen 10-14-02,MZF,
Florian Dithmarschen 10-42-01,LF8,
Florian Dithmarschen 10-48-04,HLF10,
,,
Amt Heider Umland,,
,,
FF Noderwöhrden,Wennemannswisch,25746 Norderwöhrden
Florian Dithmarschen 24-41-01,TSF-W,
,,
FF Weddingstedt,Schulstraße 5,25795 Weddingstedt
Florian Dithmarschen 51-10-01,KdoW,
Florian Dithmarschen 51-11-01,ELW 1,
Florian Dithmarschen 51-18-01 ,MTW,
Florian Dithmarschen 51-43-01,LF8-6,
Florian Dithmarschen 51-48-01,HLF20-16,
,,
FF Weddingstedt LG Wesseln,Holstenstraße 42,25746 Wesseln
Florian Dithmarschen 51-48-02,HLF20,
,,
FF Stelle-Wittenwurth,Dorfstraße 8a,25795 Stelle-Wittenwurth
Florian Dithmarschen 52-41-01,TSF-W,
,,
FF Ostrohe,An Steenoben 2,25746 Ostrohe
Florian Dithmarschen 53-47-01,TSF-W,
,,
FF Neuenkirchen,Raiffeisenplatz 5,25792 Neuenkirchen
Florian Dithmarschen 54-18-01,MTW,
Florian Dithmarschen 54-43-0,LF8-6,
,,
FF Hemmingstedt,Kirchenweg 9 (Neubau in der Bahnhofsstraße läuft),25770 Hemmingstedt
Florian Dithmarschen 71-14-01,MZF,
Florian Dithmarschen 71-42-01,LF8 Oldtimer,
Florian Dithmarschen 71-45-01,LF8-6,
Florian Dithmarschen 71-48-01,HLF20-16,
,,
FF Lohe-Rickelshof,Loher Weg 154,25746 Lohe-Rickelshof
Florian Dithmarschen 72-14-01,MZF,
Florian Dithmarschen 72-43-01,LF8-6,
Florian Dithmarschen 72-48-01,LF16,
,,
FF Nordhastedt OF Nordhastedt,Kirchhofstraße 6,25785 Nordhastedt
Florian Dithmarschen 73-14-01,MZF,
Florian Dithmarschen 73-48-01,LF10,
Florian Dithmarschen 73-48-02,LF16,
,,
FF Nordhastedt OF Fiel,Fiel 58,25785 Nordhastedt
Florian Dithmarschen 73-41-01,TSF-W,
,,
FF Wöhrden,Meldorfer Str. 15a,25797 Wöhrden
Florian Dithmarschen 75-14-01,MZF,
Florian Dithmarschen 75-45-01,LF8-6,
Florian Dithmarschen 75-48-01,LF10,
,,
FF Ketelsbüttel,Südlicher Dorfweg 5,25797 Wöhrden
Florian Dithmarschen 75-41-01,TSF-W,
Florian Dithmarschen 75-69-01,sonLog,
,,
Amt Marne-Nordsee,,
,,
FF Kronprinzenkoog,Ringstraße 1,25709 Kronprinzenkoog
Florian Dithmarschen 27-47-01,LF10,
,,
FF Kaiser-Wilhelm-Koog,Schulstraße 8,25709 Kaiser-Wilhelm-Koog
Florian Dithmarschen 28-41-01,TSF-W,
,,
FF Neufelderkoog,Neufelderkoog 33,25724 Neufelderkoog
Florian Dithmarschen 29-40-01,TSF,
,,
FF Diekhusen-Fahrstedt,Hauptstraße 28,25709 Diekhusen-Fahrstedt
Florian Dithmarschen 30-41-01,TSF-W,
,,
FF Helse,Triangel 4,25709 Helse
Florian Dithmarschen 31-41-01,TSF-W,
Florian Dithmarschen 31-59-01,sonGW,
,,
FF Neufeld,Westerdieker Strot 3,25724 Neufeld
Florian Dithmarschen 32-41-01,TSF-W,
,,
FF Volsemenhusen,Volsemenhusen 9,25693 Volsemenhusen
Florian Dithmarschen 33-41-01,TSF-W,
,,
FF Trennewurth,Op de Meent 2 A,25693 Trennewurth
Florian Dithmarschen 34-41-01,TSF-W,
,,
FF Friedrichskoog OF Friedrichskoog,Tjarksweg 1a,25718 Friedrichskoog
Florian Dithmarschen 35-11-01,ELW 1,
Florian Dithmarschen 35-18-01,MTW,
Florian Dithmarschen 35-42-01,LF16-TS,
Florian Dithmarschen 35-46-01,LF24,
Florian Dithmarschen 35-47-01,LF20 Log,
Florian Dithmarschen 35-51-01,RW2,
,,
FF Friedrichskoog OF Dieksanderkoog,Neulandstraße 6,25718 Friedrichskoog
Florian Dithmarschen 35-42-02,LF8,
Florian Dithmarschen 35-45-01,LF8-6,
,,
FF Marne,Süderstraße 64,25709 Marne
Florian Dithmarschen 55-11-01,ELW 1,
Florian Dithmarschen 55-14-01,MZF,
Florian Dithmarschen 55-30-01,DLK12,
Florian Dithmarschen 55-45-01,LF10-6,
Florian Dithmarschen 55-48-01,HLF20,
Florian Dithmarschen 55-48-02,LF16-12,
,,
Amt Mitteldithmarschen,,
,,
FF Meldorf,Am Bahnhof 2a ab vorraussichtlich 04/2022 im Neubau Österstraße,25704 Meldorf
Florian Dithmarschen 26-10-01,KdoW,
Florian Dithmarschen 26-11-01,ELW 1,
Florian Dithmarschen 26-18-01,MTW,
Florian Dithmarschen 26-32-01,DLK 23/12,
Florian Dithmarschen 26-42-01,LF8,
Florian Dithmarschen 26-48-01,HLF20-16,
Florian Dithmarschen 26-48-02,HLF20,
Florian Dithmarschen 26-67-01,GW-L1,
Florian Dithmarschen 02-11-02,ELW 1 TEL Dithmarschen,
Florian Dithmarschen 26-78-01,MZB,
,,
FF Schafstedt,Dorfstraße 18,25725 Schafstedt
Florian Dithmarschen 44-18-01,MTW,
Florian Dithmarschen 44-40-01,TSF,
Florian Dithmarschen 44-48-01,HLF20,
,,
FF Bunsoh-Immenstedt,Dorfstraße 20,25767 Bunsoh
Florian Dithmarschen 45-14-01,MZF,
