					
Stadt Reinbek
FF Hammoor 59, Kamp 3-1, 22941 Hammoor		
FF Jersbek 52, Langereihe 1, 22941 Jersbek		
FF Kleinhansdorf-Timmerhorn 53, Klein Hansdorfer Str. 29, 22941 Jersbek		
FF Nienwohld 55, Schulstraße 3, 23863 Nienwohld		
FF Todendorf 63, Rönnbaum 14, 22965 Todendorf		
FF Tremsbüttel 58, Hauptstraße 66, 22967 Tremsbüttel		
		
		
Stadt Bargteheide		
FF Bargteheide 50, Alter Sportpl. 8, 22941 Bargteheide		
		
		
Gemeinde Tangstedt		
FF Tangstedt 65, Dorfstraße 28, 22889 Tangstedt		
FF Wilstedt 66, Am Dorfpl. 7, 22889 Tangstedt		
FF Wulksfelde 67, Rader Weg 192, 22889 Tangstedt		
		
		
Amt Bad Oldesloe-Land		
FF Eichede 39, Kirchenstraße 1 22964 Steinburg 		
FF Grabau 47, Grover Weg 8, 21493 Grabau		
FF Klein Boden 36, Schlagenweg 23847 Rethwisch		
FF Lasbek 42, In de Eck 21, 23847 Lasbek		
FF Meddewade 34, Hörn 5, 23847 Meddewade		
FF Mollhagen 40, Twiete 1, 22964 Steinburg		
FF Neritz 46, Schmiedeberg, 23843 Neritz		
FF Pölitz 37, Schulstraße 5, 23847 Pölitz		
FF Rethwischdorf 35, Am Sportpl., 23847 Rethwisch		
FF Rohlfshagen 45, An de Sylsbek 1, 23843 Rümpel		
FF Rümpel 44, Lindenstraße 8a, 23843 Rümpel		
FF Schlamersdorf 49, Dorfstraße 4a, 23843 Travenbrück		
FF Schulenburg 38, Schulstraße 1 23847 Pölitz		
FF Sprenge 41, Raumredder 22964 Steinburg		
FF Sühlen 51, Zur Trave 23843 Travenbrück 		
FF Tralau 48, Schulstraße 29, 23843 Travenbrück		
		
		
Stadt Bad Oldesloe		
FF Bad Oldesloe 30, Lübecker Str. 38, 23843 Bad Oldesloe		
FF Poggensee 31, Alte Dorfstraße 28, 23896 Poggensee		
FF Rethwischfeld 33, Am Sportpl., 23847 Rethwisch		
FF Seefeld 32, Seefeld 3a, 23843 Bad Oldesloe		
		
		
Amt Nordstormarn		
FF Badendorf 18, Dorfstraße 43a 23619 Badendorf		
FF Barnitz 28, Schlitzer Weg 2-5, 23858 Barnitz		
FF Benstaben 29, Benstaben 1 23858 Barnitz		
FF Groß Wesenberg 21, Mühlenkamp 2, 23858 Wesenberg		
FF Hamberge 19, Schulstraße 13A, 23619 Hamberge		
FF Havighorst 11, Havighorst 53, 23858 Feldhorst		
FF Heidekamp 14, Schulsteig 3, 23858 Heidekamp		
FF Heilshoop 16, Hauptstraße 45, 23619 Heilshoop		
FF Klein Wesenberg 24, Alte Dorfstraße 18A, 23860 Klein Wesenberg		
FF Mönkhagen-Langniendorf 17, Hauptstraße 29, 23619 Mönkhagen		
FF Pöhls 13, Dorfstraße 2 23619 Rehhorst		
FF Ratzbek 22, Dorfstraße 46 23858 Wesenberg		
FF Rehhorst 12, Up'n Knust 26 23619 Rehhorst		
FF Steinfeld 10, Steinfeld 71 23858 Feldhorst		
FF Stubbendorf 23, Bruhnkatener Weg 22, 23858 Wesenberg		
FF Trenthorst-Ahrensfelde 26, An der K 8 23847 Westerau (Trenthorst 32)		
FF Westerau 25, Schulstraße 6, 23847 Westerau		
FF Zarpen 15, Teichstraße 18, 23619 Zarpen		
		
		
Stadt Reinfeld		
FF Reinfeld 20, Mahlmannstraße 1, 23858 Reinfeld		
		
WF Druckzentrum Ahrensburg, Alter Postweg 6 22926 Ahrensburg		
