----- Regionalstelle Schleswig: -----		
		
	Anhänger Transport	
	Anhänger NEA 30 kVA	
	Gabelstapler	
	AOC auf MTF der DB-Netz AG	Anwender-Orientierter-Container mit Material für TH-Bahn
		
		
THW OV Rendsburg	Graf-von-Stauffenberg-Straße 12	24768 Rendsburg
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Rendsburg 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Rendsburg 22/51	GKW	
	Anhänger Wechselbrücke EGS	
		
>>> Fachgruppe N		
Heros Rendsburg 24/55	MzGW	
	Anhänger Lichtmast 20kVA	
		
>>> Fachgruppe Elektroversorgung		
Heros Rendsburg 32/43	LKW Lbw	
	Anhänger NEA 175 kVA	
		
>>> ÖGA Ölwehr		
	Anhänger Ölwehr 8	
Heros Rendsburg 86/85	Boot Ölwehr 8	
	Anhänger Mopmatic-Wringer	
		
>>> OV-Stab		
Heros Rendsburg 86/21	PKW OV	
Heros Rendsburg 86/25	MTW OV	
	Anhänger 1,5t	
	Anhänger 1t	
	Schlauchboot	
		
		
THW OV Schleswig	Agnes-Pockels-Straße 7	24837 Schleswig
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Schleswig 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Schleswig 22/51	GKW	
	Anhänger Wechselbrücke EGS	
		
>>> Fachgruppe N		
Heros Schleswig 24/55	MzGW	
	Anhänger NEA 50 kVA	
		
>>> Fachgruppe Räumen		
Heros Schleswig 41/62	Lkw K	
Heros Schleswig 41/72	BRmG R	
	Drucklufterzeuger	
	Anhänger Tieflader	
		
>>> Fachgruppe Sprengen		
Heros Schleswig 35/35	MLW V	
		
>>> Fachgruppe Bergungstauchen		
Heros Schleswig ??/??	LKW Taucher	
		
>>> OV Stab		
Heros Schleswig 86/31	MLW I	
	Logistikanhänger	
	Arbeitsboot auf Trailer	THW 85488-2
		
Fahrzeuge der Regionalstelle		
Heros Schleswig 85/21	PKW VW Touran	
Heros Schleswig 85/22	PKW VW Golf	
Heros Schleswig 85/23	PKW VW Caddy techn. Dienst	
Heros Schleswig 85/26	MTW VW T6	
Heros Schleswig 85/31	MLW 1 VW Crafter	
		
		
THW OV Sörup	Schulstraße 40	24966 Sörup
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Sörup 21/10	MTW TZ	
		
>>> Bergungsgruppe		
Heros Sörup 22/51	GKW	
		
>> Fachzug Logistik		
>>>>> Führungstrupp		
Heros Sörup 62/21	PKW LogFü	
>>>>> Trupp Logistik Materialerhaltung		
Heros Sörup 63/25	MTW FGr	
Heros Sörup 63/63	Lkw Kipper/Kran	
	Anhänger multifunktional Tieflader/Container	
		
>>> OV Stab		
Heros Sörup 86/25	MTW OV/Jugend	
	Anhänger Transport	Plane/Spriegel
