Florian Lüneburg 13-17-30	MTW	
Florian Lüneburg 13-45-30	LF 10/6	
		
OF Oldendorf/Luhe	Diesselbünte 5	21385 Oldendorf (Luhe)
Florian Lüneburg 13-20-32	TLF 8-W	
Florian Lüneburg 13-40-32	TSF	
	MTF JF	ohne Funk
		
OF Wetzen	Dorfstraße 9	21385 Oldendorf (Luhe)
Florian Lüneburg 13-17-34	MTW	
Florian Lüneburg 13-40-34	TSF	
		
OF Betzendorf	Heinser Straße 1	21386 Betzendorf
Florian Lüneburg 13-17-40	MTW	
Florian Lüneburg 13-20-40	TLF 8-W	
Florian Lüneburg 13-40-40	TSF	
	Waldbrandbekämpfungsanhänger	
		
OF Rehlingen	Kötnerstraße 12	21385 Rehlingen
Florian Lüneburg 13-17-42	MTW	
Florian Lüneburg 13-40-42	TSF	
		
OF Tellmer	Tellmer Dorfstraße 17	21386 Betzendorf
Florian Lüneburg 13-40-44	TSF	
		
FF Samtgemeinde Bardowick		
		
OF Bardowick	Mühlenstraße 39	21357 Bardowick
Florian Lüneburg 14-11-10	ELW	
Florian Lüneburg 14-17-10	MTW	
Florian Lüneburg 14-25-10	TLF 4000	
Florian Lüneburg 14-30-10	DLK 23/12	
Florian Lüneburg 14-48-10	HLF 20/16	
Florian Lüneburg 14-64-10	GW-L1	Ölbindemittel, CSA, Zelt
	Mehrzweckboot	
	Anhänger Ölabwehr	
		
OF Mechtersen	Brockwinkler Weg 1	21358 Mechtersen
Florian Lüneburg 14-11-20	ELW	
Florian Lüneburg 14-17-20	MTW	
Florian Lüneburg 14-25-20	TLF 4000 St.	
Florian Lüneburg 14-48-20	HLF 20	
		
OF Vögelsen	Schulstraße	21360 Vögelsen
Florian Lüneburg 14-17-22	MTW	
Florian Lüneburg 14-42-22	StLF 10/6 / MLF	
		
OF Radbruch	Dorfmitte	21449 Radbruch
Florian Lüneburg 14-17-24	MTW	
Florian Lüneburg 14-42-24	StLF 10/6	
		
OF Handorf	Alter Schulweg 2	21447 Handorf
Florian Lüneburg 14-17-30	MTW	
Florian Lüneburg 14-48-30	HLF 20/16	
		
OF Barum	Am Sportplatz	21357 Barum
Florian Lüneburg 14-17-32	MTW	
Florian Lüneburg 14-17-33	MTW	
Florian Lüneburg 14-42-32	StLF 10/6	
	Mehrzweckboot Blechbüchse	
	Anhänger JF	
		
OF Wittorf	Hauptstraße 6	21357 Wittorf
Florian Lüneburg 14-11-34	ELW	
Florian Lüneburg 14-42-34	StLF 10/6	
		
OF Horburg	Zur Horburg	21357 Barum
Florian Lüneburg 14-40-36	TSF	
		
OF St. Dionys	Barbarossaweg 5	21357 Barum
Florian Lüneburg 14-40-38	TSF	
		
Freiwillige Feuerwehr Samtgemeinde Ostheide		
		
OF Barendorf	Dorfstraße 21397	Barendorf
Florian Lüneburg 15-17-10	MTF	
Florian Lüneburg 15-21-10	TLF 16/24-Tr.	
Florian Lüneburg 15-40-10	TSF	
		
OF Vastorf	Dorfstraße 2	21397 Vastorf
Florian Lüneburg 15-17-12	MTF	
Florian Lüneburg 15-45-12	LF 10/6	
		
OF Wendisch Evern	Dorfstraße 17	21403 Wendisch Evern
Florian Lüneburg 15-17-14	MTF	
Florian Lüneburg 15-42-14	StLF 10/6	
		
OF Reinstorf	Am Vitusbach 28	21400 Reinstorf
Florian Lüneburg 15-17-20	MTF	
Florian Lüneburg 15-23-20	TLF 3000	Neufahrzeug 2019
Florian Lüneburg 15-47-20	LF 16/12	
Florian Lüneburg 15-62-20	SW-KatS	
		
OF Bavendorf	Alte Heerstraße 15	21401 Thomasburg
Florian Lüneburg 15-19-22	MTF	
Florian Lüneburg 15-41-22	TSF-W	
		
OF Holzen	Op dan Brink	21400 Reinstorf
Florian Lüneburg 15-40-24	TSF	
		
OF Neetze	Von-Estorff-Straße 45	21398 Neetze
Florian Lüneburg 15-11-30	ELW 1	
Florian Lüneburg 15-17-30	MTW	
Florian Lüneburg 15-23-30	TLF 16/25	
Florian Lüneburg 15-45-30	LF 10/6	
		
OF Radenbeck	Linnenkamp 8	21401 Thomasburg
Florian Lüneburg 15-40-32	TSF	
		
OF Süttorf	Dorfstraße 8	21398 Neetze
Florian Lüneburg 15-40-34	TSF	
		
OF Thomasburg	Radenbecker Weg 11	21401 Thomasburg
Florian Lüneburg 15-40-36	TSF	
		
Freiwillige Feuerwehr Samtgemeinde Gellersen		
Ortsfeuerwehr Kirchgellersen	Dachtmisser Straße 13	21394 Kirchgellersen
Florian Lüneburg 17-11-10	ELW 1	
Florian Lüneburg 17-17-10	MTF	
Florian Lüneburg 17-24-10	TLF 16/25	
Florian Lüneburg 17-44-10	LF 20 KatS	
	Ölschadenanhänger	
	Atemschutzanhänger	
		
Ortsfeuerwehr Heiligenthal	Am Sportplatz 2	21394 Südergellersen
Florian Lüneburg 17-17-12	MTF	
Florian Lüneburg 17-40-12	TSF	
		
Ortsfeuerwehr Reppenstedt	Eulenbusch 2	21391 Reppenstedt
Florian Lüneburg 17-17-20	MTW	
Florian Lüneburg 17-47-20	LF 20	
Florian Lüneburg 17-48-20	HLF 16/12	
Florian Lüneburg 17-68-20	GW-L2	AS, Gefahrgut, Licht, TH, TS, Schlauch,...
		
Ortsfeuerwehr Westergellersen	Einemhofer Weg 1B	21394 Westergellersen
Florian Lüneburg 17-17-30	MTF	
Florian Lüneburg 17-47-30	LF 20/16	2.400l Wasser
	Transportanhänger	
		
Ortsfeuerwehr Südergellersen	Kirchgellerser Straße 12	21394 Südergellersen
Florian Lüneburg 17-17-32	MTF	
Florian Lüneburg 17-20-32	TLF 8/18	
Florian Lüneburg 17-40-32	TSF	
		
Freiwillige Feuerwehr Samtgemeinde Ilmenau		
		
OF Melbeck	Uelzener Straße 10a	21406 Melbeck
Florian Lüneburg 18-17-10	MTF	
Florian Lüneburg 18-44-10	LF 20-KatS	
Florian Lüneburg 18-24-10	TLF 3000	3.480l Wasser, 2000er Pumpe, 9 Plätze
	Geräteanhänger	
		
OF Deutsch Evern	Tiergartenstraße 1	21407 Deutsch Evern
Florian Lüneburg 18-17-20	MTF	
Florian Lüneburg 18-24-20	TLF 3000	Neufahrzeug 09/2021
Florian Lüneburg 18-45-20	LF 10	2.000l Wasser
	Anhänger Umwelt	
		
OF Embsen	Ortfelder Weg 1	21409 Embsen
Florian Lüneburg 18-17-30	MTF	
Florian Lüneburg 18-47-30	LF 20/16	
Florian Lüneburg 18-51-30	GW-L2 TH	TH,Schlauch,...
Florian Lüneburg 18-11-30	ELW 1	
		
OF Oerzen	Fliederstraße 26	21409 Embsen OT Oerzen
Florian Lüneburg 18-17-32	MTF	
Florian Lüneburg 18-40-32	TSF	
Florian Lüneburg 18-47-32	TLF 20/25	
		
OF Barnstedt	Hauptstraße 39	21406 Barnstedt
Florian Lüneburg 18-17-40	MTF	
Florian Lüneburg 18-40-40	TSF	
Florian Lüneburg 18-23-40	TLF 3000	
		
OF Kolkhagen	Im Dorfe 6a	21406 Kolkhagen
Florian Lüneburg 18-43-42	LF 8	
		
Freiwillige Feuerwehr Samtgemeinde Scharnebeck		
		
Ortsfeuerwehr Scharnebeck	Bardowicker Straße 65	21379 Scharnebeck
		(am gleichen Standort ist die FTZ des Landkreises)
Florian Lüneburg 19-11-10	ELW 1	
Florian Lüneburg 19-17-10	MTF	
Florian Lüneburg 19-47-10	LF 16/12	1.600l Wasser
Florian Lüneburg 19-24-10	TLF 4000	
Florian Lüneburg 19-52-10	RW 2	
		
Ortsfeuerwehr Boltersen	Am Kirchwege 1B	21379 Rullstorf
Florian Lüneburg 19-17-12	MTF	
Florian Lüneburg 19-47-12	LF 16/12	
		
Ortsfeuerwehr Rullstorf	Alte Dorfstraße 6C	21379 Rullstorf
Florian Lüneburg 19-17-14	MTF	
Florian Lüneburg 19-40-14	TSF	
		
Ortsfeuerwehr Artlenburg	Marschenweg 6	21380 Artlenburg
Florian Lüneburg 19-21-20	TLF 16/24-Tr	
Florian Lüneburg 19-46-20	HLF 10/6	
Florian Lüneburg 19-17-20	MTF	
Florian Lüneburg 19-77-20	MZB	
		
