Kennung	Feuerwehr	Funk	Fahrzeugtyp
		Florian Lauenburg 24/41-01	TSF-W
			
25	Krukow	Hauptstraße	21483 Krukow
		Florian Lauenburg 25/41-01	TSF-W
			
	Juliusburg	Am Teich 6d	21483 Juliusburg
		Florian Lauenburg 25/40-01	TSF
			
26	Dalldorf	Hauptstraße 12	21483 Dalldorf
		Florian Lauenburg 26/44-01	LF 8
			
27	Basedow	Dorfstraße 10	21483 Basedow
		Florian Lauenburg 27/14-01	MZF
		Florian Lauenburg 27/42-01	LF 10/6
			FwA-Transport
			
28	Lanze	Dorfstraße 8	21483 Lanze
		Florian Lauenburg 28/41-01	TSF-W
			
29	Buchhorst	Dorfstraße 2	21481 Buchhorst
		Florian Lauenburg 29/11-01	ELW 1
		Florian Lauenburg 29/42-01	LF 8
		Florian Lauenburg 29/46-01	LF 16/12
			
30	Schwarzenbek	Lauenburger Straße 46	21493 Schwarzenbek
		Florian Lauenburg 30/10-01	KdoW
		Florian Lauenburg 30/14-01	MZF
		Florian Lauenburg 30/18-01	MTW
		Florian Lauenburg 30/20-01	TLF 8/18
		Florian Lauenburg 30/32-01	DLK 23/12
		Florian Lauenburg 30/46-01	LF 20/16
		Florian Lauenburg 30/46-02	LF 20/40
		Florian Lauenburg 30/46-03	LF 20/24
		Florian Lauenburg 30/48-01	HLF 20/16
		Florian Lauenburg 30/51-01	RW 2
		Florian Lauenburg 30/67-01	GW-N
		(Florian Lauenburg 03-72-04)	ReakErk (Schwarzenbek)
			FwA-Pulver
			FwA-Pritsche
			FwA-Jugendfeuerwehr
			
31	Brunstorf	Lindenstraße 2	21524 Brunstorf
		Neubau an der B207 in der Orstmitte	
		Florian Lauenburg 31/18-01	MTW
		Florian Lauenburg 31/45-01	LF 8/6
			
	Kollow	Fasanenweg 6	21527 Kollow
		Florian Lauenburg 31/44-01	LF 10
		Florian Lauenburg 31/44-02	LF 8/6
			
32	Gülzow	Hauptstraße 21a	21483 Gülzow
