Funkrufname	Fahrzeugtyp	Kommentare
Rotkreuz Lauenburg 40-95-01	GW-San	
		
DLRG OG Büchen	Moorweg 42	21514 Büchen
Pelikan Lauenburg 40-58-01	GW-W/MTW	
Pelikan Lauenburg xx-xx-xx	MRB	Boot
	Transportanhänger	
		
ASB OG Mölln	Röntgenweg 4	23879 Mölln
Sama Lauenburg 60-18-01	MZF	
Sama Lauenburg 60-18-02	MZF	
Sama Lauenburg 60-85-01	N-KTW	2004
Sama Lauenburg 60-90-01	N-KTW	2018 1. SanGrp Trp
Sama Lauenburg 60-90-02	N-KTW 4x4	2023
		
DLRG OG Mölln	Am Luisenbad 1	23879 Mölln
Pelikan Lauenburg 60-18-01	MTW	
Pelikan Lauenburg 60-58-01	GW-Wasserrettung	auch 60-10-01 KdoW
Pelikan Lauenburg 60-58-02	GW-Wasserrettung	
Pelikan Lauenburg 60-78-01	RTB	
Pelikan Lauenburg 60-78-02	MZB	
Pelikan Lauenburg 60-78-03	RTB	
		
DRK OV Mölln	Herrenschlag 14	23879 Mölln
Rotkreuz Lauenburg 60-18-01	MTW	2. SanGrp Arzt
Rotkreuz Lauenburg 60-90-01	N-KTW (4x4)	2023 1. SanGrp Trp
Rotkreuz Lauenburg 60-90-02	N-KTW ZS (4x4)	2. SanGrp Arzt
Rotkreuz Lauenburg 60-90-03	N-KTW	v.a. Sanitätsdienste
Rotkreuz Lauenburg 60-90-04	N-KTW	
Rotkreuz Lauenburg 60-95-01	GW-San	2. SanGrp Arzt
		
DLRG OG Ratzeburg	Schloßwiese 5	23909 Ratzeburg
Pelikan Lauenburg 70-11-01	ELW 1	
Pelikan Lauenburg 70-14-01	MZF	
Pelikan Lauenburg 70-18-01	MTW	
Pelikan Lauenburg 70-18-02	MTW	
Pelikan Lauenburg 70-58-01	GW-W	
Pelikan Lauenburg 70-68-01	GW-L	
Pelikan Lauenburg 70-78-01	MRB	
Pelikan Lauenburg 70-78-02	MRB	
Pelikan Lauenburg 70-78-03	MRB	
Pelikan Lauenburg 70-78-04	MRB	
Pelikan Lauenburg 70-78-05	MRB	
