Wache / Funkrufname	Typ	Kommentar
Rotkreuz Nordfriesland 85/83-11	RTW	SEG-Rettung
Rotkreuz Nordfriesland 85/85-01	KTW	
		
DRK OV Westerland	Stephanstraße 16	25980 Westerland
Rotkreuz Nordfriesland 90/18-02	MTW	
Rotkreuz Nordfriesland 90/83-04	RTW	
Rotkreuz Nordfriesland 90/83-06	RTW	
Rotkreuz Nordfriesland 90/83-07	RTW	
Rotkreuz Nordfriesland 90/85-02	KTW	
Rotkreuz Nordfriesland 90/85-03	KTW	
Rotkreuz Nordfriesland 90/89-01	PKW First Responder	
Rotkreuz Nordfriesland 90/95-01	GW-San	
Rotkreuz Nordfriesland 90/95-02	GW-San	
Rotkreuz Nordfriesland 90/97-01	GW-Logistik	SEG-Betreuung
Rotkreuz Nordfriesland 90/97-02	GW-Logistik	SEG-Betreuung
Rotkreuz Nordfriesland 90/14-01	MZF	
Rotkreuz Nordfriesland 90/85-04	KTW	Geländegängig
Rotkreuz Nordfriesland 90/89-03	PKW Wasserrettung	
Rotkreuz Nordfriesland 90/89-02	GW-Drohne	
Rotkreuz Nordfriesland 90/18-01	MTW Hundestaffel	
	Anhänger Feldküche	
		
Wasserrettung		
DLRG St. Peter-Ording	Bövergeest 97	25826 Sankt Peter-Ording
Pelikan Nordfriesland 62/14-01	MZF	Allradantrieb
Pelikan Nordfriesland 62/58-01	GW-Wasserrettung / Taucher	Allradantrieb
Pelikan Nordfriesland 62/58-02	GW-Wasserrettung / Taucher	Allradantrieb
Pelikan Nordfriesland 62/58-03	GW-Wasserrettung / Taucher	Allradantrieb
Pelikan Nordfriesland 62/58-04	GW-Wasserrettung / Taucher	Allradantrieb
Pelikan Nordfriesland 62/78-01	MZB	
Pelikan Nordfriesland 62/78-02	MZB	
Pelikan Nordfriesland 62/78-03	MZB	
Pelikan Nordfriesland 62/78-04	MZB	
Pelikan Nordfriesland 62/85-01	KTW	Allradantrieb SEG Rettung auch als 62/83-11 eingesetzt (besatzungsabhängig)
Pelikan Nordfriesland 62/53-01	Argo 8x8	 
		
DLRG OG Husum	Marienhof 147 / Dockkoog	25813 Husum
Pelikan Nordfriesland 70/10-01	KdoW	
Pelikan Nordfriesland 70/58-01	GW-Wasserrettung/Taucher	
Pelikan Nordfriesland 70/58-02	GW-Wasserrettung	
Pelikan Nordfriesland 70/58-03	GW-Wasserrettung	
Pelikan Nordfriesland 70/58-04	GW-Wasserrettung	
Pelikan Nordfriesland 70/78-01	MZB	
Pelikan Nordfriesland 70/78-02	MZB	
Pelikan Nordfriesland 70/78-03	MZB	
Pelikan Nordfriesland 70/78-04	MZB	
Pelikan Nordfriesland 70/85-01	KTW/RTW	Allradantrieb, Fahrzeug ist Teil der SEG Rettung, teilweise auch als Pelikan Nordfriesland 70/83-11 geführt
		
DLRG OG Niebüll	Marktstraße 16	25899 Niebüll
Pelikan Nordfriesland 80/91-01	KTW	SEG Rettung, gleichzeitig Zugfahrzeug vom Boot
Pelikan Nordfriesland 01/78-01	MZB	
		
DLRG OG Föhr	Standstraße 60	25938 Wyk auf Föhr
Adler Nordfriesland 92/78-03	IRB	
Pelikan Nordfriesland 92/78-02	RTB	
Pelikan Nordfriesland 92/79-01	Quad	
Pelikan Nordfriesland 92/85-01	KTW	
Pelikan Nordfriesland 92/90-01	KTW-Typ-B	
Pelikan Nordfriesland 92/59-01	GW-Drohne	
