Funk	Feuerwehr	Amt/Stadt	Adresse
Florian Steinburg 18-41-03	MLF		
Florian Steinburg 18-48-01	LF 16-12		
			
Florian Steinburg 18	FF Ridders	Amt Kellinghusen	Ridders 43 25551 Hohenlockstedt
Florian Steinburg 18-44-01	LF 16-TS		
			
Florian Steinburg 18	FF Springhoe-Hohenfiert	Amt Kellinghusen	Springhoe 10A, 25551 Hohenlockstedt
Florian Steinburg 18-41-02	TSF-W		
			
Florian Steinburg 19	FF Lockstedt	Amt Kellinghusen	Wiesenweg, 25551 Lockstedt
Florian Steinburg 19-41-01	TSF-W		
			
Florian Steinburg 20	FF Lohbarbek	Amt Itzehoe-Land	Hohenlockstedter Straße 3, 25551 Lohbarbek
Florian Steinburg 20-18-01	MTW		
Florian Steinburg 20-41-01	MLF		
			
Florian Steinburg 21	FF Schlotfeld	Amt Itzehoe-Land	Rothenmühlen, 25551 Schlotfeld
Florian Steinburg 21-41-01	TSF-W		
			
Florian Steinburg 22	FF Silzen	Amt Itzehoe-Land	Dorfstraße 19, 25551 Silzen
Florian Steinburg 22-41-01	TSF-W		
			
Florian Steinburg 23	FF Winseldorf	Amt Itzehoe-Land	Brookweg 3, 25551 Winseldorf
Florian Steinburg 23-41-01	TSF-W		
			
Florian Steinburg 24	FF Altenmoor	Amt Horst-Herzhorn	Bullendorf, 25335 Altenmoor
Florian Steinburg 24-42-01	LF 8		
			
Florian Steinburg 25	FF Hohenfelde	Amt Horst-Herzhorn	Dorfstraße 50, 25358 Hohenfelde
Florian Steinburg 25-14-01	MZF		
Florian Steinburg 25-41-01	TSF-W		
Florian Steinburg 25-41-02	StLF 10-6		
			
Florian Steinburg 26	FF Horst	Amt Horst-Herzhorn	Elmshorner Str. 35, 25358 Horst
Florian Steinburg 26-14-01	MZF		
Florian Steinburg 26-44-01	LF 8-6		
Florian Steinburg 26-48-01	HLF 20		
Florian Steinburg 26-48-02	LF 16-12		
Florian Steinburg 26-59-01	sonGW		
Florian Steinburg 26-69-01	sonLog		
			
Florian Steinburg 27	FF Kiebitzreihe	Amt Horst-Herzhorn	Hauptstraße 46, 25368 Kiebitzreihe
Florian Steinburg 27-44-01	LF 8-6		
Florian Steinburg 27-45-01	HLF 10-6		
			
Florian Steinburg 28	FF Grönland-Dückermühle	Amt Horst-Herzhorn	Grönland 56 25358 Sommerland
Florian Steinburg 28-40-01	TSF		
Florian Steinburg 28-40-02	TSF		
			
Florian Steinburg 28	FF Siethwende	Amt Horst-Herzhorn	Sommerland 2, 25358 
Florian Steinburg 28-43-01	LF 8-6		
			
Florian Steinburg 30	FF Glückstadt	Stadt Glückstadt	Am Fleth 70, 25348 Glückstadt
Florian Steinburg 30-10-01	KdoW		
Florian Steinburg 30-11-01	ELW 1		
Florian Steinburg 30-18-01	MTW		
Florian Steinburg 30-32-01	DLK 23		
Florian Steinburg 30-47-01	LF 20-16		
Florian Steinburg 30-48-01	HLF 20-16		
Florian Steinburg 30-48-02	HLF 20-16		
Florian Steinburg 30-64-01	WLF-Lkr		
Florian Steinburg 30-69-01	sonLog		
Florian Steinburg 30-78-01	MZB		
			
Florian Steinburg 31	FF Drage	Amt Itzehoe-Land	Hauptstraße, 25582 Drage
Florian Steinburg 31-42-01	LF 8		
			
Florian Steinburg 32	FF Heiligenstedten-Bekmünde	Amt Itzehoe-Land	Juliankadamm 11, 25524 Heiligenstedten
Florian Steinburg 32-20-01	TLF 16-24		
Florian Steinburg 32-44-01	LF 8-6		
Florian Steinburg 32-44-02	LF 8-6		
			
Florian Steinburg 33	FF Heiligenstedtenerkamp-Hodorf	Amt Itzehoe-Land	Dorfstraße 5A, 25569 Hodorf
Florian Steinburg 33-40-01	TSF		
Florian Steinburg 33-44-01	LF 8-6		
			
Florian Steinburg 35	FF Hohenaspe	Amt Itzehoe-Land	Charlottenburger Weg 15, 25582 Hohenaspe
Florian Steinburg 35-14-01	MZF		
Florian Steinburg 35-22-01	TLF 16-25		
Florian Steinburg 35-47-01	LF 10		
			
Florian Steinburg 36	FF Huje	Amt Itzehoe-Land	Dorfstraße 18, 25588 Huje
Florian Steinburg 36-40-01	TSF		
			
Florian Steinburg 37	FF Kaaks	Amt Itzehoe-Land	Hauptstraße 1A, 25582 Kaaks
Florian Steinburg 37-40-01	KLF		
			
Florian Steinburg 38	FF Krummendiek	Amt Itzehoe-Land	Gutsweg 8, 25554 Kleve
Florian Steinburg 38-20-01	TLF 16-24		
Florian Steinburg 38-40-01	TSF-GW		
			
Florian Steinburg 39	FF Mehlbek	Amt Itzehoe-Land	Dorfstraße 15A, 25588 Mehlbek
Florian Steinburg 39-40-01	TSF		
			
Florian Steinburg 40	FF Oldendorf	Amt Itzehoe-Land	Dreschkamp 1, 25588 Oldendorf
Florian Steinburg 40-18-01	MTW		
Florian Steinburg 40-20-01	TLF 16-24		
Florian Steinburg 40-44-01	LF 10-6		
			
Florian Steinburg 41	FF Ottenbüttel	Amt Itzehoe-Land	Böverst Dörpstraat 2, 25591 Ottenbüttel
Florian Steinburg 41-44-01	LF 8-6		
			
Florian Steinburg 42	FF Peissen	Amt Itzehoe-Land	Obere Dorfstraße, 25551 Peissen
Florian Steinburg 42-41-01	TSF-W		
			
Florian Steinburg 43	FF Kellinghusen	Amt Kellinghusen	Schulstraße 8, 25548 Kellinghusen
Florian Steinburg 43-14-01	MZF		
Florian Steinburg 43-22-01	TLF 16-25		
Florian Steinburg 43-32-01	DLK 23		
Florian Steinburg 43-45-01	LF 8-6		
Florian Steinburg 43-48-01	HLF 20-16		
Florian Steinburg 43-68-01	GW-L2		
Florian Steinburg 43-69-01	sonLog		
			
Florian Steinburg 44	FF Auufer-Wittenbergen	Amt Breitenburg	Mühlenstraße 5c, 25548 Wittenbergen
Florian Steinburg 44-40-01	TSF		
			
Florian Steinburg 45	FF Brokstedt	Amt Kellinghusen	Dörnbek 7, 24616 Brokstedt
Florian Steinburg 45-18-01	MTW		
Florian Steinburg 45-20-01	TLF 8-18		
Florian Steinburg 45-48-01	HLF 10-6		
Florian Steinburg 45-49-01	sonLF		
			
Florian Steinburg 46	FF Fitzbek	Amt Kellinghusen	Störweg, 25579 Fitzbek
Florian Steinburg 46-41-01	TSF-W		
			
Florian Steinburg 47	FF Hennstedt	Amt Kellinghusen	Schulstraße 15b, 25581 Hennstedt
Florian Steinburg 47-42-01	LF 8		
			
Florian Steinburg 48	FF Mühlenbarbek	Amt Kellinghusen	Johann-Hinrich-Fehrs-Straße, 25548 Mühlenbarbek
Florian Steinburg 48-41-01	TSF-W		
			
Florian Steinburg 49	FF Oeschebüttel	Amt Kellinghusen	Grüner Weg, 25548 Oeschebüttel
Florian Steinburg 49-20-01	TLF 8-18		
			
Florian Steinburg 50	FF Poyenberg	Amt Kellinghusen	Reihe 1, 25581 Poyenberg
Florian Steinburg 50-41-01	TSF-W		
			
Florian Steinburg 51	FF Quarnstedt	Amt Kellinghusen	Schulstraße, 25563 Quarnstedt
Florian Steinburg 51-44-01	LF 8/6		
Florian Steinburg 51-47-01	LF 10		
			
Florian Steinburg 52	FF Rade	Amt Kellinghusen	Twiete 14 25579 Rade
Florian Steinburg 52-49-01 A	TSA		
			
Florian Steinburg 53	FF Rosdorf	Amt Kellinghusen	Hauptstraße, 25548 Rosdorf
Florian Steinburg 53-41-01	TSF-W		
			
Florian Steinburg 54	FF Sarlhusen	Amt Kellinghusen	Hörn, 24616 Sarlhusen
Florian Steinburg 54-18-01	MTW		
Florian Steinburg 54-41-01	TSF-W		
			
Florian Steinburg 56	FF Willenscharen	Amt Kellinghusen	Am Wallberg, 24616 Willenscharen
Florian Steinburg 56-40-01	TSF		
			
Florian Steinburg 57	FF Wrist	Amt Kellinghusen	Am Sportplatz 6, 25563 Wrist
Florian Steinburg 57-22-01	TLF 16-25		
Florian Steinburg 57-48-01	HLF 20		
Florian Steinburg 57-50-01	RW 1		
			
Florian Steinburg 58	FF Wulfsmoor-Hingstheide	Amt Kellinghusen	Knöller Damm 1, 25563 Wulfsmoor
Florian Steinburg 58-41-01	TSF-W		
			
Florian Steinburg 59	FF Bahrenfleth	Amt Krempermarsch	Fritz-Höger-Straße, 25569 Bahrenfleth
Florian Steinburg 59-41-01	TSF-W		
			
Florian Steinburg 60	FF Dägeling	Amt Krempermarsch	Dorfstraße, 25578 Dägeling
Florian Steinburg 60-41-01	TSF-W		
Florian Steinburg 60-44-01	LF 10-6		
Florian Steinburg 60-46-01	LF 20		
			
Florian Steinburg 62	FF Grevenkop	Amt Krempermarsch	Hauptstraße 14A, 25361 Grevenkop
Florian Steinburg 62-41-01	TSF-W		
			
Florian Steinburg 63	FF Krempe	Amt Krempermarsch	Am Burggraben, 25361 Krempe
Florian Steinburg 63-14-01	MZF		
Florian Steinburg 63-44-01	LF 10-6		
Florian Steinburg 63-48-01	LF 16-12		
			
Florian Steinburg 64	FF Kremperheide	Amt Krempermarsch	Dorfstraße 22, 25569 Kremperheide
Florian Steinburg 64-14-01	MZF		
Florian Steinburg 64-48-01	LF 10Son		
Florian Steinburg 64-46-01	LF 10-6		
			
Florian Steinburg 65	FF Krempermoor	Amt Krempermarsch	Dorfstraße 35a, 25569 Krempermoor
Florian Steinburg 65-44-01	LF 8-6		
			
Florian Steinburg 66	FF Neuenbrook	Amt Krempermarsch	West 12d, 25578 Neuenbrook
Florian Steinburg 66-44-01	LF 8-6		
			
Florian Steinburg 67	FF Rethwisch	Amt Krempermarsch	Kirchweg, 25566 Rethwisch
Florian Steinburg 67-18-01	MTW		
Florian Steinburg 67-47-01	LF 20		
			
Florian Steinburg 68	FF Steinburg	Amt Krempermarsch	Gewerbestraße 3, 25361 Süderau
Florian Steinburg 68-41-02	TSF-W		
			
Florian Steinburg 68	FF Süderau/Elskop	Amt Krempermarsch	Süderauerdorfstraße 14A, 25361 Süderau
Florian Steinburg 68-41-01	TSF-W		
			
Florian Steinburg 69	FF Lägerdorf	Amt Breitenburg	Sandkuhle, 25566 Lägerdorf
Florian Steinburg 69-14-01	MZF		
Florian Steinburg 69-22-01	TLF 3000		
Florian Steinburg 69-42-01	LF 8		
Florian Steinburg 69-48-01	LF 20		
Florian Steinburg 69-50-01	RW 1		
			
