Funkrufname	Fahrzeugtyp	Kommentare
Florian Stormarn 77-18-01	MTF	
Florian Stormarn 77-45-01	LF 10/6	1.000l Wasser, 1000er Pumpe
Tragkraftspritzenanhänger		
		
FF Grönwohld 72	Bahnhofstraße 3	22956 Grönwohld
Florian Stormarn 72-18-01	MTF	
Florian Stormarn 72-44-01	LF 8/6	600l Wasser, 800er Pumpe
Florian Stormarn 72-48-01	HLF 20	2.000l Wasser, 2000er Pumpe
		
FF Großensee 74	Hamburger Str. 11	22946 Großensee
Florian Stormarn 74-14-01	MZF	MTW/ELW/Transport
Florian Stormarn 74-22-01	TLF 16/25	2.400l Wasser, 1/8 Besatzung
Florian Stormarn 74-42-01	LF 8	
Florian Stormarn 74-78-01	Boot	
Anhänger Jugendfeuerwehr		
		
FF Hamfelde 78	Schulstraße 14 a/b	22929 Hamfelde, Neubau schräg gegenüber in Planung
Florian Stormarn 78-18-01	MTW	
Florian Stormarn 78-44-01	LF 8/6	Ersatz durch LF 10 läuft
		
FF Köthel 79	An der Bille 1	22929 Köthel Kreis Stormarn
Florian Stormarn 79-19-01	MTW	
Florian Stormarn 79-42-01	LF 8/6	
		
FF Lütjensee 73	Alte Schulstraße 4	22952 Lütjensee
Florian Stormarn 73-14-01	MZF	
Florian Stormarn 73-48-01	HLF 20	
Florian Stormarn 73-48-02	LF 16/12	1.600l Wasser, 1600er Pumpe
		
FF Rausdorf 75	Hauptstraße 25	22929 Rausdorf
Florian Stormarn 75-40-01	TSF	
Florian Stormarn 75-48-01	LF 16/12	1.400l Wasser, 1600er Pumpe
		
FF Trittau 70	Rausdorfer Str. 3	22946 Trittau. Neubau Rettungszentrum Gadebuscher Straße in Planung
Florian Stormarn 70-11-01	ELW 1	
Florian Stormarn 70-18-01	MTW	
Florian Stormarn 70-46-01	LF 20	2.400l Wasser, 2000er Pumpe
Florian Stormarn 70-48-01	HLF 20	
Florian Stormarn 70-48-02	HLF 20	2.000l Wasser, 2000er Pumpe
Florian Stormarn 70-68-01	GW-L2	v.a. SW
Florian Stormarn 03-72-02	ReakErkTrKW	
		
FF Witzhave 76	Rausdorfer Weg 18	22969 Witzhave
Florian Stormarn 76-18-01	MTW	
Florian Stormarn 76-42-01	LF 8	
Florian Stormarn 76-48-01	HLF 20/16	3.000l Wasser
		
		
Stadt Ahrensburg		
FF Ahrensburg 60	Am Weinberg 2-4	22926 Ahrensburg
Florian Stormarn 60-00-01?	PKW?	
Florian Stormarn 60-10-01	KdoW	VW Amarok
Florian Stormarn 60-11-01	ELW 1	
Florian Stormarn 60-17-01	GW	Gerätewartung und Atemluftflaschen
Florian Stormarn 60-18-01	MTF	
Florian Stormarn 60-25-01	TLF 24/50	
Florian Stormarn 60-32-01	DLK 23/12	
Florian Stormarn 60-47-01	LF 20/16	2.400l Wasser, 2000er Pumpe
Florian Stormarn 60-48-01	HLF 20	1.600l Wasser, 2000er Pumpe
Florian Stormarn 60-51-01	RW 2	
Florian Stormarn 60-57-01	GW-AS	
Florian Stormarn 60-67-01	GW-L1	
		
Zweites Gerätehaus	Jonny-Loesch-Weg 3	22926 Ahrensburg
Florian Stormarn 60-18-02	MTF	
Florian Stormarn 60-45-01	LF 10	
		
Löschgruppe Wulfsdorf	Bornkampsweg 33	22926 Ahrensburg
Florian Stormarn 60-18-03	MTW	
Florian Stormarn 60-45-02	LF 8/6	
		
FF Ahrensfelde 62	Teichstraße 3	22926 Ahrensburg
Florian Stormarn 62-18-01	MTW	
Florian Stormarn 62-45-01	HLF 10	
		
		
Gemeinde Ammersbek		
FF Bünningstedt 69	Dorfstraße 62 a	22949 Ammersbek
Florian Stormarn 69-18-01	MTW	
Florian Stormarn 69-45-01	LF 10/6	
Florian Stormarn 69-46-01	LF 10	2.000l Wasser, 2000er Pumpe
Tragkraftspritzenanhänger		
		
FF Hoisbüttel 68	Hoisbütteler Dorfstraße 6	22949 Ammersbek
Florian Stormarn 68-18-01	MTW	
Florian Stormarn 68-47-01	LF 20/16	
Florian Stormarn 68-48-01	LF 20	3.000l Wasser, 2000er Pumpe
		
		
Gemeinde Großhansdorf		
FF Großhansdorf 71	Wöhrendamm 39	22927 Großhansdorf
Florian Stormarn 71-11-01	ELW 1	
Florian Stormarn 71-18-01	MTW	
Florian Stormarn 71-22-01	TLF 16/25	Besatzung 1/8
Florian Stormarn 71-32-01	DLA(K) 23/12	
Florian Stormarn 71-48-01	HLF 20/16	1.600l Wasser
Florian Stormarn 71-51-01	RW 2	
		
		
Amt Bargteheide-Land		
FF Bargfeld-Stegen 54	Mittelweg 4	23863 Bargfeld-Stegen
Florian Stormarn 54-14-01	MZF	
Florian Stormarn 54-44-01	LF 8/6	
Florian Stormarn 54-48-01	HLF 20/20	
		
FF Delingsdorf 64	Schulstraße 3	22941 Delingsdorf
Florian Stormarn 64-18-01	MTW	
Florian Stormarn 64-42-01	LF 8	
Florian Stormarn 64-48-01	LF 10/6	
		
FF Elmenhorst 56	Schulstraße 1	23869 Elmenhorst
Florian Stormarn 56-14-01	MZF	
Florian Stormarn 56-44-01	LF 8/6	
Florian Stormarn 56-48-01	HLF 20	
		
FF Fischbek 57	Am Dorfpl. 3 ggü	23869 Elmenhorst
Florian Stormarn 57-44-01	LF 10/6	
		
FF Hammoor 59	Kamp 3-1	22941 Hammoor
Florian Stormarn 59-42-01	LF 8	
Florian Stormarn 59-48-01	HLF 20/16	
		
FF Jersbek 52	Langereihe 1	22941 Jersbek
Florian Stormarn 52-14-01	MZF	
Florian Stormarn 52-44-01	LF 8/6	
		
FF Kleinhansdorf-Timmerhorn 53	Klein Hansdorfer Str. 29	22941 Jersbek
Florian Stormarn 53-48-01	HLF 10	
		
FF Nienwohld 55	Schulstraße 3	23863 Nienwohld
Florian Stormarn 55-14-01	MZF	
Florian Stormarn 55-43-01	StLF 10/6	
		
FF Todendorf 63	Meiereigraben	22965 Todendorf
Florian Stormarn 63-45-01	HLF 10/6	
Florian Stormarn 63-47-01	LF 20-KatS	
		
FF Tremsbüttel 58	Hauptstraße 66	22967 Tremsbüttel
Florian Stormarn 58-14-01	MZF	
Florian Stormarn 58-44-01	LF 8/6	
Florian Stormarn 58-48-01	HLF 20	
		
		
Stadt Bargteheide		
FF Bargteheide 50	Alter Sportpl. 8	22941 Bargteheide
Florian Stormarn 50-10-01	KdoW	
Florian Stormarn 50-11-01	ELW 1	
Florian Stormarn 50-18-01	MTW	
Florian Stormarn 50-32-01	DLK 23-12	
Florian Stormarn 50-44-01	LF 8/6	
