Freiwillige Feuerwehr Landkreis Rotenburg		
		
Kreisfeuerwehr		
Florian Rotenburg 13-11-21	ELW 1	Baujahr 2012
Florian Rotenburg 13-43-21	LF 8 TW 14	Baujahr 2004
Florian Rotenburg 13-24-21	TLF 16/25	Baujahr 2004
Florian Rotenburg 13-62-21	SW 2000 KatS	Baujahr 2013
Florian Rotenburg 13-79-21	KRad	Baujahr 2017
		
Ortsfeuerwehr Barchel	Am Brink 6	27432 Barchel
Florian Rotenburg 13-40-23	TSF	Baujahr 2006
Florian Rotenburg 13-21-23	TLF 15	Baujahr 1950, 2.400l Wasser, Besatzung 6
		
Ortsfeuerwehr Glinde	Seestraße 1	27432 Glinde
Florian Rotenburg 13-40-24	TSF	Baujahr 2006
		
Ortsfeuerwehr Heinschenwalde	Postweg 17	27432 Heinschenwalde
Florian Rotenburg 13-40-25	TSF	Baujahr 2017
	FwA-Schlauch/Wasser	u.a. 800l Wasser
		
Ortsfeuerwehr Hipstedt	Bahnhofstraße 57	27432 Hipstedt
Florian Rotenburg 13-41-26	TSF-W	1995
	Schlauchanhänger	
		
Ortsfeuerwehr Basdahl	Zum Hohen Moor 2	27432 Basdahl
Florian Rotenburg 13-45-31	LF 10/6	Baujahr 2003
Florian Rotenburg 13-21-31	TLF 16/24 Tr	Baujahr 2009
		
Ortsfeuerwehr Oese	Alt Oese 2	27432 Oese
Florian Rotenburg 13-40-33	TSF	Baujahr 2011
	FwA-Schlauch	
		
Ortsfeuerwehr Volkmarst	Am Sportplatz	27432 Volkmarst
Florian Rotenburg 13-40-34	TSF	Baujahr 1997
		
Ortsfeuerwehr Ebersdorf	Hauptstraße 26	27432 Ebersdorf
Florian Rotenburg 13-45-41	LF 8/6	Baujahr 2002
Florian Rotenburg 13-21-41	TLF 16/24 Tr	Baujahr 2009, 3.000l Wasser
		
Ortsfeuerwehr Alfstedt	Schulstraße 12	27432 Alfstedt
Florian Rotenburg 13-41-43	TSF-W	Baujahr 2005
		
Ortsfeuerwehr Neu Ebersdorf	Neu Ebersdorfer Straße 17	27432 Neu Ebersdorf
Florian Rotenburg 13-40-44	TSF	Baujahr nach 2006
		
		
Freiwillige Feuerwehr Selsingen		
Ortsfeuerwehr Selsingen	Bahnhof Straße 14	27446 Selsingen
Florian Rotenburg 14-11-21	ELW 1	Neufahrzeug 2021
Florian Rotenburg 14-17-21	MTW	
Florian Rotenburg 14-21-21	TLF 3000	
Florian Rotenburg 14-48-21	HLF 20	
Florian Rotenburg 86-70-11	ABC-ErkKw	
	FwA-MZ / Ölschaden	
	FwA-Schlauch	
		
Ehemelige OF Godenstedt 2015 aufgelöst	jetzt bei:	
Ortsfeuerwehr Seedorf	Löschgruppe Godenstedt	evtl. auch aufgelöst
		
Ortsfeuerwehr Haaßel	Twistenbosteler Weg 1	27446 Selsingen
Florian Rotenburg 14-40-24	TSF	Neufahrzeug 2009
		
Ortsfeuerwehr Lavenstedt	Friedhofstraße 5	27446 Selsingen
Florian Rotenburg 14-40-25	TSF	Neufahrzeug 2014
		
Ortsfeuerwehr Ober-Ochtenhausen	An der Schule 1	27446 Selsingen
Florian Rotenburg 14-40-26	TSF	Baujahr 1992
		
Ortsfeuerwehr Parnewinkel	Altes Feld 3	27446 Selsingen
Florian Rotenburg 14-40-27	TSF	Baujahr 2003
		
Ortsfeuerwehr Sandbostel	Reiterstraße 17	27446 Selsingen
Florian Rotenburg 14-40-28	TSF	Neufahrzeug 2014
		
Ortsfeuerwehr Seedorf	Friedhofstraße 3	27404 Seedorf
Florian Rotenburg 14-43-29	LF 8	eins von 2 baugleichen
		vormals TSF ROW B 1726, weitergegben an?
		
Ortsfeuerwehr Farven	Schulstraße	27446 Farven
Florian Rotenburg 14-23-31	StLF 20/25	3.200l Wasser
Florian Rotenburg 14-45-31	LF 10/6	1.000l Wasser, TH-Satz
		
Ortsfeuerwehr Anderlingen	Selsinger Straße 1a	27446 Selsingen
Florian Rotenburg 14-40-33	TSF	Baujahr 1990
		
Ortsfeuerwehr Byhusen	Am Sportplatz 1	27446 Selsingen
Florian Rotenburg 14-40-34	TSF	Neufahrzeug 2006
		
Ortsfeuerwehr Deinstedt	Schulstraße 3	27446 Selsingen
Florian Rotenburg 14-40-35	TSF	Baujahr 1986
	FwA-Schlauch	
		
Ortsfeuerwehr Fehrenbruch	Fehrenbruch 18	27446 Selsingen
Florian Rotenburg 14-40-36	TSF	Neufahrzeug 2011
		
Ortsfeuerwehr Malstedt	Stühweg 1	27446 Selsingen
Florian Rotenburg 14-40-37	TSF	Neufahrzeug 2000
		
Ortsfeuerwehr Ohrel	Dorfstraße 21	27446 Selsingen
Florian Rotenburg 14-40-38	TSF	Baujahr 2007
		
Ortsfeuerwehr Rhade	Feuerhörn 5	27446 Selsingen
Florian Rotenburg 14-23-41	StLF 20/25	
Florian Rotenburg 14-43-41	LF 8	
		
Ortsfeuerwehr Ostereistedt	Bahnhofstraße 8	27446 Selsingen
Florian Rotenburg 14-40-43	TSF	Baujahr 1993
		
Ortsfeuerwehr Rhadereistedt	Landesstraße 20	27446 Selsingen
Florian Rotenburg 14-40-44	TSF	Baujahr 2006
		
Ortsfeuerwehr Rockstedt	Am Brink 6	27404 Ostereistedt
Florian Rotenburg 14-40-45	TSF	Baujahr 2009
		
Freiwillige Feuerwehr Samtgemeinde Zeven		
Ortsfeuerwehr Zeven	Böttcherstraße 3	27404 Zeven, Neubau am Südring für 2022 geplant
Florian Rotenburg 21-11-11	ELW 1	
Florian Rotenburg 21-19-11	MTW	
Florian Rotenburg 21-30-11	DLK 23-12	
Florian Rotenburg 21-47-11	LF 20/16	
Florian Rotenburg 21-47-12	LF 16/12	
Florian Rotenburg 21-52-11	RW 2	
Florian Rotenburg 21-61-11	SW 1000	
		
Ortsfeuerwehr Badenstedt	Alte Dorfstraße 1	27404 Badenstedt
Florian Rotenburg 21-40-13	TSF	
		
Ortsfeuerwehr Brauel	Müller-Brauel-Weg 4a	27404 Zeven
Florian Rotenburg 21-40-14	TSF	
		
Ortsfeuerwehr Brüttendorf	Rotenburger Straße 3	27404 Brüttendorf
Florian Rotenburg 21-40-15	TSF	
Florian Rotenburg 80-11-xx	ELW Gefahrgutzug	
		
Ortsfeuerwehr Oldendorf	Eichenstraße 19	27404 Zeven
Florian Rotenburg 21-40-16	TSF	Baujahr 2006
		
Ortsfeuerwehr Wistedt	In der Großen Hörn 16	27404 Wistedt
Florian Rotenburg 21-40-17	TSF	Baujahr 2001
		
Ortsfeuerwehr Elsdorf	Bargelweg	27404 Elsdorf
Florian Rotenburg 21-19-21	MTW	
Florian Rotenburg 21-21-21	TLF 3000	
Florian Rotenburg 21-43-21	LF 8	
		
Ortsfeuerwehr Frankenbostel	Elsdorfer Straße 7	27404 Frankenbostel
Florian Rotenburg 21-40-23	TSF	Neufahrzeug 2011
		
Ortsfeuerwehr Hatzte-Ehestorf	Neu Straße 6b	27404 Hatzte
Florian Rotenburg 21-40-24	TSF	
		
Ortsfeuerwehr Rüspel-Volkensen-Nindorf	Eichenstraße 5	27404 Rüspel
Florian Rotenburg 21-40-25	TSF	Baujahr 1986
		
Ortsfeuerwehr Volkensen a.d.!	fusionierte 2020 mit Rüspel und Nindorf	
Florian Rotenburg 21-40-26	TSF a.d.?	
		
Ortsfeuerwehr Gyhum	Eichenstraße 27404 Gyhum	
Florian Rotenburg 21-11-31	ELW 1	
Florian Rotenburg 21-45-31	LF 8/6	
	Schlauchanhänger	
		
Ortsfeuerwehr Hesedorf	Schulstraße 2	27404 Gyhum
Florian Rotenburg 21-40-33	TSF	
Florian Rotenburg 21-61-33	SW 1000	
		
Ortsfeuerwehr Nartum	Hauptstraße 60?	27404 Nartum
Florian Rotenburg 21-40-34	TSF	Neufahrzeug 2011
		
Ortsfeuerwehr Wehldorf	Blöckenstraße 2	27404 Zeven
Florian Rotenburg 21-40-35	TSF	
	Schlauchanhänger	
		
Ortsfeuerwehr Heeslingen	Am Kreuzkamp 11	27404 Zeven
Florian Rotenburg 21-19-41	ELW 1	
Florian Rotenburg 21-45-41	LF 8	
Florian Rotenburg 21-20-41	TLF 8/18	Baujahr 1987
		
Ortsfeuerwehr Boitzen	Osterheeslinger Straße 6a	27404 Zeven
Florian Rotenburg 21-40-43	TSF	Neufahrzeug 2013
		
Ortsfeuerwehr Meinstedt	Moorweg 4	27404 Zeven
Florian Rotenburg 21-40-44	TSF	Neufahrzeug unbekannt
		
Ortsfeuerwehr Sassenholz	Am Bruch 3	27404 Zeven
Florian Rotenburg 21-40-45	TSF	Baujahr 1985
		
Ortsfeuerwehr Steddorf	Unter den Linden 4	27404 Zeven
Florian Rotenburg 21-40-46	TSF	Baujahr 1993
		
Ortsfeuerwehr Weertzen	Schulhof 3	27404 Weertzen
Florian Rotenburg 21-40-47	TSF	Baujahr 2002
		
Ortsfeuerwehr Wense	Alte Dorfstraße 23	27404 Zeven
Florian Rotenburg 21-40-48	TSF	
		
Ortsfeuerwehr Wiersdorf	Röhrsweg 3	27404 Wiersdorf
Florian Rotenburg 21-40-49	TSF	Bj. 2001, Übernahme 2011
		
Freiwillige Feuerwehr Samtgemeinde Sittensen		
Ortsfeuerwehr Sittensen	Kampweg 2	27419 Sittensen
Florian Rotenburg 22-19-21	ELW 1	
Florian Rotenburg 22-47-21	LF 20/16	2.400l Wasser
Florian Rotenburg 22-48-21	HLF 20	2.400l Wasser, Neufahrzeug 2019
Florian Rotenburg 22-51-21	RW 1 / GW-G 1	kreiseigenes Fahrzeug, soll 2022 ersetzt werden
Florian Rotenburg 22-61-21	SW 1000	kreiseigenes Fahrzeug
Florian Rotenburg 22-79-21	Krad	kreiseigenes Fahrzeug
	FwA-Öl	
		
Ortsfeuerwehr Hamersen	Im Haselbusch 2	27419 Sittensen
Florian Rotenburg 22-40-23	TSF	
		
Ortsfeuerwehr Kalbe	Am Sande 1a	27419 Kalbe
Florian Rotenburg 22-40-24	TSF	Baujahr 2000
		
Ortsfeuerwehr Lengenbostel	Neuer Weg 8	27419 Sittensen
Florian Rotenburg 22-40-25	TSF	Baujahr 2000
		
Ortsfeuerwehr Tiste	Ostetal 3	27419 Tiste
Florian Rotenburg 22-40-26	TSF	Baujahr 1998
		
Ortsfeuerwehr Klein Meckelsen	Dorfstraße 21	27419 Klein Meckelsen
Florian Rotenburg 22-45-31	LF 8/6	Bj 1995
Florian Rotenburg 22-21-31	TLF 16/24 Tr	Bj. 2001
Florian Rotenburg 22-17-31	MTW	Bj. 2009
	Schlauchanhänger	
		
Ortsfeuerwehr Groß Meckelsen	Dorfstraße 9	27419 Groß Meckelsen
Florian Rotenburg 22-40-33	TSF	
		
Ortsfeuerwehr Ippensen	Groß Ippensen 16	27419 Sittensen
Florian Rotenburg 22-40-34	TSF	
		
Ortsfeuerwehr Wohnste	Hauptstraße	27419 Wohnste
Florian Rotenburg 22-46-41	HLF 10/6	1.200l Wasser
Florian Rotenburg 22-23-41	TLF 3000	3.800l Wasser
		
Ortsfeuerwehr Freetz	Dorfstraße 9a	27419 Sittensen
Florian Rotenburg 22-40-43	TSF	
		
Ortsfeuerwehr Vierden	Dorfstraße 9	27419 Vierden
Florian Rotenburg 22-40-44	TSF	Baujahr 1986
		
Freiwillige Feuerwehr Samtgemeinde Tarmstedt		
Ortsfeuerwehr Tarmstedt	Rothensteiner Straße 1A	27412 Tarmstedt
Florian Rotenburg 23-19-21	ELW	Bj. 2000, i.D. 2007
Florian Rotenburg 23-23-21	TLF 16/25	Bj. 2009
Florian Rotenburg 23-47-21	HLF 10	Bj. 2014
	FwA-Schlauch	240m B, 2*75m C
	FwA-TS	Bj. 1988
	FwA-Logistik	Bj. 2006
		
Ortsfeuerwehr Kirchtimke	Hauptstraße 28	27412 Kirchtimke (Neubau oder Anbau in Planung)
Florian Rotenburg 23-40-23	TSF	Neufahrzeug soll 2024 kommen
		
Ortsfeuerwehr Ostertimke	Moorhöfen 2	27412 Ostertimke
Florian Rotenburg 23-40-24	TSF	Baujahr 1998
		
Ortsfeuerwehr Westertimke	Dorfstraße 4	27412 Westertimke
Florian Rotenburg 23-40-25	TSF	Baujahr 1996
		
Ortsfeuerwehr Hepstedt	An der Schule 10	27412 Hepstedt
Florian Rotenburg 23-19-31	MTW	
Florian Rotenburg 23-23-31	TLF 3000	
Florian Rotenburg 23-43-31	LF 8	Bj. 1990, wird 2023 durch HLF 10 ersetzt
		
Ortsfeuerwehr Breddorf	Hauptstraße 11	27412 Breddorf
Florian Rotenburg 23-40-33	TSF	Bj. ca. 1994
		
Ortsfeuerwehr Hanstedt	In der Siedlung 2	27412 Hanstedt
Florian Rotenburg 23-40-34	TSF	
		
Ortsfeuerwehr Wilstedt	An der Reitbahn 1	27412 Wilstedt
Florian Rotenburg 23-19-41	ELW 1	Bj. 2017
Florian Rotenburg 23-21-41	TLF 3000	3.200l, Bj. 2017
Florian Rotenburg 23-46-41	HLF 10	Neufahrzeug 2022, 1.600l Wasser, 2000er Pumpe
Florian Rotenburg 86-17-13	MTW	Gefahrgutzug, Bj. 2019
	FwA-Logistik	200m B, Bindemittel, Schaummittel,...
		
Ortsfeuerwehr Bülstedt	Logestraße 1	27412 Bülstedt
Florian Rotenburg 23-40-43	TSF	Bj. 2003
		
Ortsfeuerwehr Buchholz	Dipshorner Straße 25	27412 Vorwerk
Florian Rotenburg 23-47-44	LF 16/12	Bj. 1988, 2014 modernisiert und gekauft
		
Ortsfeuerwehr Steinfeld	Am Walde 2	27412 Bülstedt
Florian Rotenburg 23-40-45	TSF	Bj. 2003
		
