Feuerwehr Bremen		
		
Florian Bremen 06/59-02	GW-Sonder	
Florian Bremen 06/59-03	GW-Sonder	
Florian Bremen 06/72-02	KdoW GPZ	
Florian Bremen 06/72-03	KdoW GPZ	
		
Florian Bremen 06/83-01	RTW 61 (P)	
Florian Bremen 06/83-10	RTW Takt. Res. 6(P)	
		
FuRW 7	Hochschulring 3	28359 Bremen
Florian Bremen 07/33-01	DLA(K) 23/12	
Florian Bremen 07/43-01	HLF 20	
Florian Bremen 07/52-01	RW	
Florian Bremen 07/65-01	WLF	
Florian Bremen 07/71-01	FwK	
Florian Bremen 07/72-01	KdoW	
Florian Bremen 07/69-01	FwA-RETT Korb	
Florian Bremen 07/88-01	FwA-Boot	
		
Florian Bremen 07/83-01	RTW	
		
Werkfeuerwehr Daimler AG Werk Bremen	Mercedesstraße 1	28309 Bremen
Florian Daimler 67/10-01	KdoW	
Florian Daimler 67/10-02	KdoW	
Florian Daimler 67/11-01	ELW 1	
Florian Daimler 67/36-01	TM 51	
Florian Daimler 67/43-02	HLF 1	
Florian Daimler 67/43-02	HLF 2	
Florian Daimler 67/48-01	VLF	
Florian Daimler 67/50-01	GW	
Florian Daimler 67/59-01	WLF	
Florian Daimler 67/65-01	WLF-Kran	
	AB-Gefahrgut	
	AB-Mulde	
	FwA mit Wechselmodulen	z. B. CO², SWW, Ifex, Lenzpumpen, Schaummittel
		
Werkfeuerwehr Airbus Deutschland Gmbh	Airbus Allee 1	28199 Bremen
1	HLF 3000	
2	LF	Poolfahrzeug ex Hamburg HLF mit Werfer
3	RTW	
4	MZF	
	FwA-MZ	
	Anh. Stromerzeuger Knurz	
	2 Anh. Stromerzeuger GEKO 15 kVA	
		
Werkfeuerwehr ArcelorMittal Bremen GmbH	Haupstraße	28237 Bremen
Florian Bremen 69/11-01	ELW 1	
Florian Bremen 69/18-01	GW-Logistik	
Florian Bremen 69/18-02	GW-Rüst	
Florian Bremen 69/19-01	MTF	
Florian Bremen 69/19-02	MZF	
Florian Bremen 69/19-03	MZF	
Florian Bremen 69/43-01	HTLF 3000	
Florian Bremen 69/43-02	HTLF 4000	
Florian Bremen 69/56-01	GW-A	
Florian Bremen 69/83-01	RTW	
Florian Bremen 69/83-02	RTW	
		
Anhänger:		
	TSA 8/8	
	Schlauchanhänger	
	CO2-Batterie (150 Kg)	
	CO2 Tank (3 t)	
	P250	
	Leichtschaumgenerator	
	Notstromaggregat 60 KVA	
		
Betriebsfeuerwehr Flughafen Bremen	Flughafendamm 51	28199 Bremen
Florian Flughafen 10/1	KdoW	
Florian Flughafen 10/3	MZF	
Florian Flughafen 11/1	ELF	
Florian Flughafen 11/2	ELW	
Florian Flughafen 19/1	MTW	
Florian Flughafen 19/2	Evakuierungsbus	
Florian Flughafen 27/1	FLF Panther 8x8	
Florian Flughafen 27/2	FLF Panther 8x8 HRET	
Florian Flughafen 27/3	FLF Panther 8x8 HRET	
Florian Flughafen 39/1	RTF E 5000	
