Funkkennung	Fahrzeugtyp	Fahrgestell	Baujahr	Kennzeichen	Info
Florian Pinneberg 12-11-01	ELW 1	Mercedes Benz Sprinter	2007	PI-FH 1211	
Florian Pinneberg 12-18-01	MTF 1	Mercedes Benz Sprinter	2016	PI-FH 1218	
Florian Pinneberg 12-19-01	MTF 2	Mercedes Benz Vito	2015	PI-FH 1219	
Florian Pinneberg 12-23-01	TLF 16/25	MB ATEGO 1629 AF	2015	PI-FH 1223	2.000er Pumpe, 2.400l Wasser
Florian Pinneberg 12-32-01	DLA(K) 23/12	MAN 15.285 LC	2003	PI-2383	
Florian Pinneberg 12-44-01	LF 10	Mercedes	2020	PI-FH 1244	2.000er Pumpe, 1.600l Wasser
Florian Pinneberg 12-46-01	LF 20/16	Mercedes Atego 1629 AF	2009	PI-LF 2006	2.100l Wasser
Flroian Pinneberg 12-48-01	HLF 20	Mercedes Atego 1730 AF	2018		3.000er Pumpe, 1.800l Wasser
Florian Pinneberg 12-51-01	RW-Kran	Scania	2018	PI-FH 1251	
	Stromgeneratoranhänger						
Florian Pinneberg 12-63-01	WLF	MB Antos	2019	PI-FH 1263	
	AB-Gefahrgut		2019		
	AB-Logistik		2021?		u.a. Rollcontainer Schlauch, Schaum, Atemluft, Bahnausrüstung
	AB-Mulde				
					
13	Egenbüttel	
Florian Pinneberg 13-14-01	MZF	Mercedes Sprinter			
Florian Pinneberg 13-47-01	LF 10	Mercedes Atego 1530 AF	2024	PI-FE 1347	2.000er Pumpe, 2.000l Wasser
Florian Pinneberg 13-48-01	HLF 10	Mercedes Atego 1629 F	2013	PI-2520	
					
14	Ellerbek	Hauptstraße 22	25474 Ellerbek		
Florian Pinneberg 14-14-01	MZF Jugendfeuerwehr	Opel Movano	2006	PI-2514	
Florian Pinneberg 14-18-01	MTW Jugendfeuerwehr	VW Crafter		PI-JF 200	
Florian Pinneberg 14-23-01	TLF 16/25			PI-2825	
Florian Pinneberg 14-41-01	LF 8			PI-2883	
Florian Pinneberg 14-48-01	HLF 10	Rosenbauer		
	FwA-Ölschaden			PI-2710	
					
15	Appen	Almtweg 21	25482 Appen		
Florian Pinneberg 15-14-01	MZF	Volkswagen LT 35	2002	PI-2086	
Florian Pinneberg 15-18-01	MTW	Mercedes-Benz 313 CDI Sprinter	2013	PI-FA 1519	
Florian Pinneberg 15-46-01	LF 20/16	Mercedes-Benz 1629 AF Atego	2009	PI-FA 4401	2.800l Wasser
Florian Pinneberg 15-47-01	LF 10	Mercedes-Benz 1630 AF Atego	2017	PI-FA 1547	3.000er Pumpe, 1.200l Wasser
Florian Pinneberg 15-48-01	LF 16/12	Mercedes-Benz 1224 AF	1994	PI-2033	1.200l Wasser
Florian Pinneberg 15-67-01	GW-N	Mercedes Sprinter 413	2004	PI-FA 1567	RC Rüstholz, Schlauch, Ölbindemittel
	FWA-Bootstrailer	Harbeck	2014	PI-FA 1578	
					
16	Prisdorf	Hudenbarg 5	25497 Prisdorf		
Florian Pinneberg 16-11-01	ELW 1	MB Sprinter	2014	PI-FP 1611	
Florian Pinneberg 16-18-01	MTW	VW T6	2020	PI-FF 1618	
Florian Pinneberg 16-46-01	LF 20/16	Mercedes Benz Atego 1529	2009	PI-FP 1644	2.000l Wasser
Florian Pinneberg 16-47-01	LF 10	Mercedes Benz Atego 1530	2019	PI-FP 1647	1.200l Wasser
	Transportanhänger	Koch Fahrzeugbau	2003	PI-2300	
	Schlauch-Anh	Brenderup Kofferaufbau	2008	PI-2708	
	Stromerzeuger 30 kVA			PI-FF 1618	aus Tornesch übernommen
	TSF	VW T1	1962		einsatzfähig, aber nicht mehr im Dienst
					
17	Kummerfeld	Bornbarg 16a	25495 Kummerfeld		
Florian Pinneberg 17-11-01	ELW 1	MB Sprinter		PI-FF 1711	
Florian Pinneberg 17-18-01	MTW	MB Sprinter		PI-FF 1719	
Florian Pinneberg 17-44-01	LF 10/6	MB Atego		PI-2640	800l Wasser
Florian Pinneberg 17-48-01	HLF 20	MB Atego	2019	PI-FF 1748	3.000er Pumpe, 2.000l Wasser
	Transportanhänger			PI-FF 1720	
					
18	Borstel-Hohenraden	Quickborner Straße 99	25494 Borstel-Hohenraden		
Florian Pinneberg 18-14-01	MZF		2015	PI-FF 1814	
Florian Pinneberg 18-45-01	HLF 10/6	MB Atego 1226 AFE	2011	PI-BO 1845	2.000er Pumpe, 800l Wasser
Florian Pinneberg 18-47-01	LF 10	MB Atego 1226 AFE	2013	PI-HO 1847	2.000er Pumpe, 1.200l Wasser
					
19	Tangstedt	Brummackerweg 6	25499 Tangstedt	
Florian Pinneberg 19-14-01	MZF		2008	PI-FT 160	
Florian Pinneberg 19-45-01	LF 8/6	MB Atego 815 F	2003	PI-2338	2.400er Pumpe, 600l Wasser
Florian Pinneberg 19-46-02	LF 10-Sonder	MAN TGM 13-290 4x4	2014	PI-FT 19	2.000er Pumpe, 2.380l Wasser
Florian Pinneberg 01-61-01	SW 2000	MAN			Fahrzeug der Kreisfeuerwehrbereitschaft
	Anh-Schlauch				
					
20	Elmshorn (Nord)	Petersstraße 31-33	25335 Elmshorn		
Florian Pinneberg 20-10-01	KdoW	Mercedes	2009	PI-FW 2016	
Florian Pinneberg 20-18-01	MTW	VW	2010	PI-FW 191	
Florian Pinneberg 20-18-03	MTW	VW	2019	PI-SE 3025	
Florian Pinneberg 20-22-01	TLF 16/24-Tr	MB Atego	2013	PI-FW 2022	
Florian Pinneberg 20-32-01	DLK 23/12	Mercedes Atego 1630 F	2023	PI-SE 3201	
Florian Pinneberg 20-46-01	LF 16/12	MB Atego 1325 AF	2004	PI-2945	
Florian Pinneberg 20-48-01	HLF 20/16	MB Atego 1529 AF	2007	PI-LF 202	
Florian Pinneberg 20-51-01	RW 2	Mercedes Atego 1630 AF	2020	PI-SE 6000	
Florian Pinneberg 20-67-01	GW-N		2015	PI-FW 2067	
Florian Pinneberg 20-20-06	GLF 25		1942	PI-2000	voll Einsatzfähig; a.D seit 1971
					
	Elmshorn (Süd)	Hamburger Straße 2-6	25337 Elmshorn		
Florian Pinneberg 20-12-01	ELW 2	MB Sprinter	2004	PI-2266	könnte auf der Wache Nord stehen!
Florian Pinneberg 20-14-01	MZF	MB Sprinter	2002	PI-2073	
Florian Pinneberg 20-18-02	MTW	VW	2007	PI-FW 192	
Florian Pinneberg 20-22-02	TLF 16/24-Tr	MB Atego	2009	PI-FW 2021	
Florian Pinneberg 20-32-02	DLK 23/12	Mercedes Atego 1630 F	2023	PI-SE 3202	
Florian Pinneberg 20-41-01	TSF-W	MB	1998	PI-2093	
Florian Pinneberg 20-46-02	LF 20		2022	PI-SE 4602	
Florian Pinneberg 20-48-02	HLF 20/16		2017	PI-FW 2048	
Florian Pinneberg 20-63-01	WLF	MB Atego	2008	PI-FE 800	
